RESULTADOS DEL MODELO: NN Custom (simple_data)
======================================================================
Accuracy General: 0.6841

Matriz de Confusión:
730 CONFIRMED (CP) 35.56%
731 FALSE POSITIVE 42.14%
732 CANDIDATE (PC) 73.59%
733 FALSE POSITIVE 54.05%
734 CANDIDATE (PC) 42.57%
735 CONFIRMED (CP) 90.68%
736 CONFIRMED (CP) 44.05%
737 CONFIRMED (CP) 42.65%
738 FALSE POSITIVE 41.52%
739 CANDIDATE (PC) 77.85%
740 FALSE POSITIVE 63.21%
741 CONFIRMED (CP) 93.47%
742 FALSE POSITIVE 96.83%
743 CANDIDATE (PC) 54.73%
744 CANDIDATE (PC) 72.94%
745 CANDIDATE (PC) 77.09%
746 CANDIDATE (PC) 77.05%
747 CANDIDATE (PC) 65.13%
748 CANDIDATE (PC) 54.54%
749 CONFIRMED (CP) 52.65%
750 CANDIDATE (PC) 57.79%
751 CONFIRMED (CP) 89.51%
752 CONFIRMED (CP) 44.51%
753 CONFIRMED (CP) 44.20%
754 CONFIRMED (CP) 76.37%
755 FALSE POSITIVE 65.81%
756 FALSE POSITIVE 70.67%
757 CANDIDATE (PC) 75.36%
758 CONFIRMED (CP) 66.51%
759 CANDIDATE (PC) 78.12%
760 CANDIDATE (PC) 61.61%
761 CONFIRMED (CP) 71.04%
762 FALSE POSITIVE 37.34%
763 FALSE POSITIVE 97.59%
764 CANDIDATE (PC) 78.10%
765 CONFIRMED (CP) 74.86%
766 FALSE POSITIVE 97.26%
767 CANDIDATE (PC) 67.05%
768 CONFIRMED (CP) 76.50%
769 CANDIDATE (PC) 45.75%
770 CANDIDATE (PC) 46.76%
771 CANDIDATE (PC) 76.73%
772 CANDIDATE (PC) 57.28%
773 FALSE POSITIVE 54.85%
774 FALSE POSITIVE 85.81%
775 FALSE POSITIVE 62.57%
776 CANDIDATE (PC) 74.88%
777 CANDIDATE (PC) 52.27%
778 FALSE POSITIVE 96.69%
779 FALSE POSITIVE 96.70%
780 CANDIDATE (PC) 75.16%
781 CANDIDATE (PC) 44.25%
782 CONFIRMED (CP) 44.06%
783 CONFIRMED (CP) 60.65%
784 CANDIDATE (PC) 40.67%
785 FALSE POSITIVE 51.16%
786 CANDIDATE (PC) 76.15%
787 CANDIDATE (PC) 78.69%
788 CANDIDATE (PC) 79.80%
789 CANDIDATE (PC) 71.28%
790 CONFIRMED (CP) 76.47%
791 CANDIDATE (PC) 52.47%
792 FALSE POSITIVE 90.24%
793 CONFIRMED (CP) 91.72%
794 CONFIRMED (CP) 56.99%
795 CANDIDATE (PC) 48.43%
796 FALSE POSITIVE 96.84%
797 CONFIRMED (CP) 89.59%
798 CANDIDATE (PC) 68.68%
799 CANDIDATE (PC) 53.40%
800 FALSE POSITIVE 48.57%
801 CONFIRMED (CP) 72.14%
802 CONFIRMED (CP) 71.43%
803 CANDIDATE (PC) 75.76%
804 FALSE POSITIVE 86.49%
805 CANDIDATE (PC) 74.72%
806 FALSE POSITIVE 49.75%
807 CANDIDATE (PC) 66.92%
808 CONFIRMED (CP) 47.17%
809 CANDIDATE (PC) 55.29%
810 CONFIRMED (CP) 77.37%
811 CONFIRMED (CP) 73.49%
812 CANDIDATE (PC) 62.65%
813 CANDIDATE (PC) 74.85%
814 CANDIDATE (PC) 72.54%
815 CONFIRMED (CP) 93.11%
816 CONFIRMED (CP) 48.62%
817 CONFIRMED (CP) 43.18%
818 CANDIDATE (PC) 48.24%
819 CANDIDATE (PC) 47.20%
820 CANDIDATE (PC) 77.41%
821 CANDIDATE (PC) 61.99%
822 CANDIDATE (PC) 73.11%
823 CANDIDATE (PC) 43.82%
824 FALSE POSITIVE 98.53%
825 FALSE POSITIVE 38.07%
826 CANDIDATE (PC) 73.49%
827 CONFIRMED (CP) 88.39%
828 FALSE POSITIVE 41.58%
829 FALSE POSITIVE 61.73%
830 CANDIDATE (PC) 71.44%
831 CANDIDATE (PC) 46.25%
832 CANDIDATE (PC) 80.15%
833 CANDIDATE (PC) 76.02%
834 CONFIRMED (CP) 77.27%
835 CONFIRMED (CP) 90.38%
836 CANDIDATE (PC) 75.13%
837 CANDIDATE (PC) 79.30%
838 CANDIDATE (PC) 70.54%
839 FALSE POSITIVE 59.98%
840 CANDIDATE (PC) 71.34%
841 CANDIDATE (PC) 72.50%
842 CANDIDATE (PC) 76.10%
843 CONFIRMED (CP) 65.82%
844 FALSE POSITIVE 69.72%
845 CANDIDATE (PC) 77.42%
846 FALSE POSITIVE 95.34%
847 CANDIDATE (PC) 73.19%
848 CANDIDATE (PC) 51.97%
849 CANDIDATE (PC) 54.64%
850 CANDIDATE (PC) 70.44%
851 CONFIRMED (CP) 44.79%
852 CANDIDATE (PC) 70.84%
853 CANDIDATE (PC) 65.90%
854 CONFIRMED (CP) 89.60%
855 CANDIDATE (PC) 45.97%
856 CONFIRMED (CP) 93.52%
857 CANDIDATE (PC) 77.02%
858 FALSE POSITIVE 41.50%
859 CONFIRMED (CP) 93.57%
860 FALSE POSITIVE 74.52%
861 CONFIRMED (CP) 88.73%
862 CANDIDATE (PC) 47.25%
863 CONFIRMED (CP) 74.22%
864 FALSE POSITIVE 81.31%
865 CANDIDATE (PC) 48.67%
866 CANDIDATE (PC) 47.84%
867 FALSE POSITIVE 88.00%
868 FALSE POSITIVE 82.93%
869 CANDIDATE (PC) 74.38%
870 CONFIRMED (CP) 92.26%
871 CANDIDATE (PC) 46.49%
872 CANDIDATE (PC) 53.62%
873 CANDIDATE (PC) 44.88%
874 CANDIDATE (PC) 76.78%
875 FALSE POSITIVE 62.47%
876 CONFIRMED (CP) 72.72%
877 CANDIDATE (PC) 49.29%
878 CANDIDATE (PC) 75.35%
879 FALSE POSITIVE 73.87%
880 FALSE POSITIVE 95.64%
881 CONFIRMED (CP) 36.07%
882 CANDIDATE (PC) 48.91%
883 CONFIRMED (CP) 44.79%
884 CANDIDATE (PC) 73.86%
885 FALSE POSITIVE 93.04%
886 FALSE POSITIVE 63.91%
887 CANDIDATE (PC) 74.50%
888 FALSE POSITIVE 41.49%
889 CANDIDATE (PC) 71.17%
890 CANDIDATE (PC) 54.31%
891 CANDIDATE (PC) 68.13%
892 FALSE POSITIVE 64.34%
893 CANDIDATE (PC) 77.15%
894 CONFIRMED (CP) 43.99%
895 FALSE POSITIVE 37.76%
896 FALSE POSITIVE 64.71%
897 CANDIDATE (PC) 74.76%
898 CONFIRMED (CP) 75.38%
899 FALSE POSITIVE 63.81%
900 FALSE POSITIVE 96.86%
901 CANDIDATE (PC) 39.42%
902 CANDIDATE (PC) 72.58%
903 CANDIDATE (PC) 44.88%
904 CANDIDATE (PC) 75.86%
905 CONFIRMED (CP) 45.77%
906 CANDIDATE (PC) 79.79%
907 CANDIDATE (PC) 49.03%
908 CANDIDATE (PC) 54.66%
909 CONFIRMED (CP) 37.90%
910 FALSE POSITIVE 97.33%
911 CONFIRMED (CP) 88.26%
912 CANDIDATE (PC) 54.72%
913 CANDIDATE (PC) 56.78%
914 CONFIRMED (CP) 72.97%
915 CONFIRMED (CP) 76.60%
916 FALSE POSITIVE 37.64%
917 FALSE POSITIVE 97.45%
918 CONFIRMED (CP) 89.78%
919 CONFIRMED (CP) 67.87%
920 FALSE POSITIVE 43.82%
921 CANDIDATE (PC) 47.25%
922 CONFIRMED (CP) 89.65%
923 CANDIDATE (PC) 44.33%
924 CANDIDATE (PC) 75.04%
925 CANDIDATE (PC) 73.15%
926 CONFIRMED (CP) 92.59%
927 CANDIDATE (PC) 51.20%
928 CONFIRMED (CP) 43.76%
929 FALSE POSITIVE 96.96%
930 CONFIRMED (CP) 69.12%
931 CANDIDATE (PC) 55.42%
932 FALSE POSITIVE 96.43%
933 FALSE POSITIVE 47.66%
934 CANDIDATE (PC) 73.63%
935 CONFIRMED (CP) 92.99%
936 FALSE POSITIVE 63.98%
937 CONFIRMED (CP) 76.84%
938 FALSE POSITIVE 54.05%
939 CONFIRMED (CP) 42.41%
940 FALSE POSITIVE 77.54%
941 CANDIDATE (PC) 65.34%
942 CONFIRMED (CP) 87.22%
943 CONFIRMED (CP) 89.72%
944 CONFIRMED (CP) 43.44%
945 FALSE POSITIVE 47.78%
946 CANDIDATE (PC) 38.91%
947 CONFIRMED (CP) 73.17%
948 CANDIDATE (PC) 76.46%
949 CANDIDATE (PC) 42.02%
950 CANDIDATE (PC) 77.06%
951 CANDIDATE (PC) 74.71%
952 CANDIDATE (PC) 74.51%
953 CONFIRMED (CP) 42.64%
954 FALSE POSITIVE 80.48%
955 CANDIDATE (PC) 46.96%
956 FALSE POSITIVE 90.56%
957 CANDIDATE (PC) 80.42%
958 CANDIDATE (PC) 70.61%
959 CANDIDATE (PC) 63.43%
960 FALSE POSITIVE 54.20%
961 CANDIDATE (PC) 50.63%
962 CANDIDATE (PC) 62.10%
963 CANDIDATE (PC) 77.57%
964 FALSE POSITIVE 90.48%
965 CANDIDATE (PC) 58.85%
966 FALSE POSITIVE 57.73%
967 CANDIDATE (PC) 75.76%
968 CANDIDATE (PC) 45.53%
969 CANDIDATE (PC) 46.41%
970 FALSE POSITIVE 63.50%
971 FALSE POSITIVE 59.55%
972 FALSE POSITIVE 75.77%
973 CANDIDATE (PC) 75.60%
974 CANDIDATE (PC) 73.25%
975 CANDIDATE (PC) 47.08%
976 CONFIRMED (CP) 71.52%
977 CANDIDATE (PC) 76.77%
978 CONFIRMED (CP) 86.47%
979 CANDIDATE (PC) 63.30%
980 FALSE POSITIVE 97.10%
981 CANDIDATE (PC) 74.76%
982 CANDIDATE (PC) 69.27%
983 CANDIDATE (PC) 65.96%
984 FALSE POSITIVE 97.51%
985 CONFIRMED (CP) 91.64%
986 FALSE POSITIVE 41.57%
987 CANDIDATE (PC) 45.10%
988 CONFIRMED (CP) 76.85%
989 FALSE POSITIVE 91.79%
990 CONFIRMED (CP) 89.68%
991 CANDIDATE (PC) 46.55%
992 FALSE POSITIVE 81.80%
993 CANDIDATE (PC) 56.50%
994 CANDIDATE (PC) 48.87%
995 CANDIDATE (PC) 64.27%
996 CONFIRMED (CP) 90.25%
997 CANDIDATE (PC) 61.44%
998 FALSE POSITIVE 64.92%
999 CONFIRMED (CP) 39.63%
1000 FALSE POSITIVE 97.23%
1001 CANDIDATE (PC) 55.95%
1002 CONFIRMED (CP) 47.22%
1003 FALSE POSITIVE 96.17%
1004 CANDIDATE (PC) 72.94%
1005 CANDIDATE (PC) 47.57%
1006 CANDIDATE (PC) 63.21%
1007 CANDIDATE (PC) 48.73%
1008 FALSE POSITIVE 45.06%
1009 CANDIDATE (PC) 72.64%
1010 CANDIDATE (PC) 47.54%
1011 CANDIDATE (PC) 73.37%
1012 CANDIDATE (PC) 75.58%
1013 CANDIDATE (PC) 81.12%
1014 CONFIRMED (CP) 41.53%
1015 FALSE POSITIVE 35.77%
1016 CANDIDATE (PC) 61.34%
1017 CANDIDATE (PC) 73.14%
1018 FALSE POSITIVE 97.33%
1019 CANDIDATE (PC) 76.80%
1020 FALSE POSITIVE 71.47%
1021 CANDIDATE (PC) 74.29%
1022 CONFIRMED (CP) 92.53%
1023 CANDIDATE (PC) 39.59%
1024 CANDIDATE (PC) 44.85%
1025 CANDIDATE (PC) 72.34%
1026 CONFIRMED (CP) 51.06%
1027 CANDIDATE (PC) 77.06%
1028 CONFIRMED (CP) 89.50%
1029 FALSE POSITIVE 54.23%
1030 FALSE POSITIVE 97.17%
1031 CONFIRMED (CP) 70.00%
1032 CONFIRMED (CP) 51.42%
1033 CANDIDATE (PC) 43.44%
1034 CANDIDATE (PC) 74.06%
1035 CANDIDATE (PC) 69.50%
1036 CONFIRMED (CP) 51.97%
1037 FALSE POSITIVE 97.19%
1038 FALSE POSITIVE 74.93%
1039 FALSE POSITIVE 50.92%
1040 FALSE POSITIVE 98.52%
1041 CANDIDATE (PC) 71.27%
1042 CANDIDATE (PC) 45.71%
1043 CONFIRMED (CP) 90.26%
1044 CONFIRMED (CP) 73.24%
1045 FALSE POSITIVE 72.35%
1046 CANDIDATE (PC) 76.57%
1047 CANDIDATE (PC) 75.85%
1048 CANDIDATE (PC) 45.90%
1049 FALSE POSITIVE 81.76%
1050 FALSE POSITIVE 96.83%
1051 CONFIRMED (CP) 48.10%
1052 CONFIRMED (CP) 40.65%
1053 CONFIRMED (CP) 72.81%
1054 CANDIDATE (PC) 79.96%
1055 CONFIRMED (CP) 71.64%
1056 CANDIDATE (PC) 76.21%
1057 CANDIDATE (PC) 70.88%
1058 CANDIDATE (PC) 77.05%
1059 CANDIDATE (PC) 62.48%
1060 CANDIDATE (PC) 73.69%
1061 CANDIDATE (PC) 67.42%
1062 CANDIDATE (PC) 64.43%
1063 CANDIDATE (PC) 76.56%
1064 FALSE POSITIVE 92.02%
1065 FALSE POSITIVE 54.21%
1066 CANDIDATE (PC) 74.65%
1067 CONFIRMED (CP) 38.56%
1068 CANDIDATE (PC) 77.53%
1069 CANDIDATE (PC) 75.40%
1070 CANDIDATE (PC) 74.32%
1071 CONFIRMED (CP) 88.75%
1072 FALSE POSITIVE 88.91%
1073 CANDIDATE (PC) 79.91%
1074 CANDIDATE (PC) 51.05%
1075 CONFIRMED (CP) 89.47%
1076 CANDIDATE (PC) 47.99%
1077 CANDIDATE (PC) 77.60%
1078 CANDIDATE (PC) 75.89%
1079 CONFIRMED (CP) 89.97%
1080 FALSE POSITIVE 95.80%
1081 CONFIRMED (CP) 69.31%
1082 FALSE POSITIVE 56.67%
1083 CANDIDATE (PC) 75.72%
1084 CONFIRMED (CP) 49.60%
1085 CANDIDATE (PC) 60.96%
1086 CONFIRMED (CP) 34.65%
1087 CANDIDATE (PC) 71.48%
1088 CONFIRMED (CP) 49.20%
1089 CANDIDATE (PC) 74.26%
1090 FALSE POSITIVE 96.86%
1091 FALSE POSITIVE 86.25%
1092 CANDIDATE (PC) 72.60%
1093 CANDIDATE (PC) 72.87%
1094 FALSE POSITIVE 54.05%
1095 CONFIRMED (CP) 76.52%
1096 CANDIDATE (PC) 79.85%
1097 CANDIDATE (PC) 54.73%
1098 FALSE POSITIVE 96.93%
1099 CANDIDATE (PC) 61.78%
1100 CONFIRMED (CP) 45.15%
1101 CONFIRMED (CP) 48.37%
1102 CANDIDATE (PC) 65.55%
1103 CANDIDATE (PC) 52.78%
1104 CONFIRMED (CP) 66.03%
1105 CANDIDATE (PC) 55.88%
1106 FALSE POSITIVE 90.08%
1107 CONFIRMED (CP) 71.48%
1108 CONFIRMED (CP) 88.40%
1109 CANDIDATE (PC) 65.34%
1110 CONFIRMED (CP) 88.95%
1111 CANDIDATE (PC) 80.63%
1112 CANDIDATE (PC) 54.61%
1113 FALSE POSITIVE 59.48%
1114 CANDIDATE (PC) 54.30%
1115 CANDIDATE (PC) 71.63%
1116 CONFIRMED (CP) 39.70%
1117 CONFIRMED (CP) 37.81%
1118 CANDIDATE (PC) 73.37%
1119 CANDIDATE (PC) 71.15%
1120 FALSE POSITIVE 96.94%
1121 CANDIDATE (PC) 74.27%
1122 CONFIRMED (CP) 89.81%
1123 CANDIDATE (PC) 65.17%
1124 CANDIDATE (PC) 46.18%
1125 CANDIDATE (PC) 49.48%
1126 CANDIDATE (PC) 69.63%
1127 CONFIRMED (CP) 93.31%
1128 CANDIDATE (PC) 70.19%
1129 CANDIDATE (PC) 76.79%
1130 CANDIDATE (PC) 65.92%
1131 CANDIDATE (PC) 72.79%
1132 CANDIDATE (PC) 69.62%
1133 CANDIDATE (PC) 54.40%
1134 CANDIDATE (PC) 46.83%
1135 CONFIRMED (CP) 48.76%
1136 CANDIDATE (PC) 75.36%
1137 CANDIDATE (PC) 77.43%
1138 FALSE POSITIVE 84.01%
1139 CANDIDATE (PC) 67.23%
1140 FALSE POSITIVE 96.75%
1141 CONFIRMED (CP) 63.54%
1142 CONFIRMED (CP) 46.15%
1143 CANDIDATE (PC) 73.05%
1144 FALSE POSITIVE 97.05%
1145 CONFIRMED (CP) 52.28%
1146 CANDIDATE (PC) 76.79%
1147 CANDIDATE (PC) 72.29%
1148 CANDIDATE (PC) 66.70%
1149 CANDIDATE (PC) 72.17%
1150 FALSE POSITIVE 45.80%
1151 CONFIRMED (CP) 89.60%
1152 CANDIDATE (PC) 73.22%
1153 CONFIRMED (CP) 67.42%
1154 FALSE POSITIVE 76.44%
1155 CANDIDATE (PC) 74.46%
1156 CANDIDATE (PC) 77.65%
1157 CONFIRMED (CP) 39.37%
1158 CANDIDATE (PC) 76.98%
1159 CANDIDATE (PC) 47.91%
1160 FALSE POSITIVE 81.34%
1161 FALSE POSITIVE 85.91%
1162 CONFIRMED (CP) 88.69%
1163 CONFIRMED (CP) 93.05%
1164 CANDIDATE (PC) 40.64%
1165 FALSE POSITIVE 59.64%
1166 CONFIRMED (CP) 74.56%
1167 CANDIDATE (PC) 56.39%
1168 FALSE POSITIVE 90.86%
1169 CANDIDATE (PC) 74.84%
1170 CANDIDATE (PC) 45.37%
1171 CONFIRMED (CP) 75.40%
1172 CONFIRMED (CP) 72.99%
1173 CONFIRMED (CP) 70.53%
1174 CANDIDATE (PC) 79.36%
1175 FALSE POSITIVE 61.05%
1176 FALSE POSITIVE 51.77%
1177 CANDIDATE (PC) 47.29%
1178 CANDIDATE (PC) 74.82%
1179 CONFIRMED (CP) 74.25%
1180 CONFIRMED (CP) 89.97%
1181 CONFIRMED (CP) 43.89%
1182 FALSE POSITIVE 42.06%
1183 CANDIDATE (PC) 53.16%
1184 CANDIDATE (PC) 47.19%
1185 CANDIDATE (PC) 53.00%
1186 FALSE POSITIVE 84.88%
1187 CONFIRMED (CP) 67.73%
1188 CANDIDATE (PC) 74.30%
1189 FALSE POSITIVE 57.39%
1190 CONFIRMED (CP) 74.36%
1191 CANDIDATE (PC) 73.79%
1192 FALSE POSITIVE 37.66%
1193 CONFIRMED (CP) 50.88%
1194 FALSE POSITIVE 85.01%
1195 CANDIDATE (PC) 52.55%
1196 FALSE POSITIVE 96.68%
1197 CANDIDATE (PC) 56.45%
1198 CONFIRMED (CP) 43.55%
1199 CONFIRMED (CP) 46.28%
1200 FALSE POSITIVE 97.46%
1201 CANDIDATE (PC) 70.32%
1202 FALSE POSITIVE 42.32%
1203 FALSE POSITIVE 58.60%
1204 CANDIDATE (PC) 73.50%
1205 CONFIRMED (CP) 48.05%
1206 FALSE POSITIVE 86.68%
1207 CONFIRMED (CP) 76.83%
1208 CANDIDATE (PC) 70.54%
1209 FALSE POSITIVE 91.57%
1210 CANDIDATE (PC) 49.45%
1211 FALSE POSITIVE 59.89%
1212 CANDIDATE (PC) 78.15%
1213 CANDIDATE (PC) 76.12%
1214 FALSE POSITIVE 66.66%
1215 CANDIDATE (PC) 43.13%
1216 FALSE POSITIVE 38.36%
1217 CONFIRMED (CP) 92.72%
1218 FALSE POSITIVE 86.18%
1219 FALSE POSITIVE 34.09%
1220 CANDIDATE (PC) 57.83%
1221 CONFIRMED (CP) 92.90%
1222 CONFIRMED (CP) 37.96%
1223 CANDIDATE (PC) 71.91%
1224 CANDIDATE (PC) 73.60%
1225 CANDIDATE (PC) 71.36%
1226 FALSE POSITIVE 43.04%
1227 FALSE POSITIVE 78.95%
1228 FALSE POSITIVE 40.91%
1229 FALSE POSITIVE 100.00%
1230 FALSE POSITIVE 95.70%
1231 CANDIDATE (PC) 72.42%
1232 FALSE POSITIVE 93.34%
1233 CONFIRMED (CP) 36.09%
1234 FALSE POSITIVE 45.52%
1235 FALSE POSITIVE 46.52%
1236 FALSE POSITIVE 45.01%
1237 CANDIDATE (PC) 75.47%
1238 FALSE POSITIVE 64.46%
1239 CANDIDATE (PC) 36.24%
1240 CANDIDATE (PC) 75.67%
1241 CONFIRMED (CP) 65.09%
1242 FALSE POSITIVE 92.48%
1243 CONFIRMED (CP) 88.66%
1244 CANDIDATE (PC) 47.69%
1245 FALSE POSITIVE 96.61%
1246 CANDIDATE (PC) 61.08%
1247 CANDIDATE (PC) 43.76%
1248 CONFIRMED (CP) 70.35%
1249 FALSE POSITIVE 38.02%
1250 CANDIDATE (PC) 47.68%
1251 CANDIDATE (PC) 74.03%
1252 CANDIDATE (PC) 58.08%
1253 CANDIDATE (PC) 49.24%
1254 CANDIDATE (PC) 73.44%
1255 CONFIRMED (CP) 90.40%
1256 CANDIDATE (PC) 67.00%
1257 FALSE POSITIVE 73.40%
1258 CONFIRMED (CP) 73.00%
1259 FALSE POSITIVE 88.98%
1260 CONFIRMED (CP) 88.64%
1261 CONFIRMED (CP) 46.40%
1262 FALSE POSITIVE 50.28%
1263 CONFIRMED (CP) 43.67%
1264 CANDIDATE (PC) 75.11%
1265 FALSE POSITIVE 88.84%
1266 FALSE POSITIVE 78.29%
1267 FALSE POSITIVE 65.51%
1268 CANDIDATE (PC) 48.82%
1269 FALSE POSITIVE 50.43%
1270 CANDIDATE (PC) 57.76%
1271 CANDIDATE (PC) 56.71%
1272 CANDIDATE (PC) 59.72%
1273 CANDIDATE (PC) 75.47%
1274 CANDIDATE (PC) 51.35%
1275 CONFIRMED (CP) 71.69%
1276 CANDIDATE (PC) 62.99%
1277 CONFIRMED (CP) 92.07%
1278 CONFIRMED (CP) 74.31%
1279 FALSE POSITIVE 34.78%
1280 CANDIDATE (PC) 75.22%
1281 CANDIDATE (PC) 56.07%
1282 FALSE POSITIVE 96.12%
1283 CANDIDATE (PC) 83.13%
1284 FALSE POSITIVE 61.60%
1285 CANDIDATE (PC) 78.65%
1286 FALSE POSITIVE 97.07%
1287 CANDIDATE (PC) 78.89%
1288 CANDIDATE (PC) 52.63%
1289 CANDIDATE (PC) 81.69%
1290 CANDIDATE (PC) 54.65%
1291 FALSE POSITIVE 93.63%
1292 CANDIDATE (PC) 56.92%
1293 CANDIDATE (PC) 77.30%
1294 CONFIRMED (CP) 90.32%
1295 FALSE POSITIVE 75.97%
1296 CONFIRMED (CP) 73.99%
1297 FALSE POSITIVE 44.83%
1298 FALSE POSITIVE 62.45%
1299 FALSE POSITIVE 97.53%
1300 CONFIRMED (CP) 61.47%
1301 FALSE POSITIVE 43.75%
1302 CANDIDATE (PC) 75.79%
1303 CANDIDATE (PC) 78.01%
1304 CONFIRMED (CP) 90.27%
1305 CANDIDATE (PC) 51.81%
1306 CONFIRMED (CP) 69.02%
1307 FALSE POSITIVE 40.34%
1308 CANDIDATE (PC) 43.97%
1309 FALSE POSITIVE 63.52%
1310 CANDIDATE (PC) 60.62%
1311 CONFIRMED (CP) 92.29%
1312 CANDIDATE (PC) 54.52%
1313 CONFIRMED (CP) 73.00%
1314 FALSE POSITIVE 89.24%
1315 FALSE POSITIVE 65.54%
1316 FALSE POSITIVE 92.41%
1317 CONFIRMED (CP) 43.71%
1318 CONFIRMED (CP) 45.72%
1319 FALSE POSITIVE 63.21%
1320 FALSE POSITIVE 54.95%
1321 CONFIRMED (CP) 46.59%
1322 CANDIDATE (PC) 48.45%
1323 CONFIRMED (CP) 77.07%
1324 CANDIDATE (PC) 77.77%
1325 CANDIDATE (PC) 77.65%
1326 CANDIDATE (PC) 58.68%
1327 CANDIDATE (PC) 74.48%
1328 FALSE POSITIVE 43.54%
1329 FALSE POSITIVE 56.94%
1330 FALSE POSITIVE 95.34%
1331 CANDIDATE (PC) 80.58%
1332 CONFIRMED (CP) 50.11%
1333 CANDIDATE (PC) 73.79%
1334 CANDIDATE (PC) 53.71%
1335 CANDIDATE (PC) 43.70%
1336 FALSE POSITIVE 92.25%
1337 CONFIRMED (CP) 43.52%
1338 CANDIDATE (PC) 42.78%
1339 CANDIDATE (PC) 77.30%
1340 CANDIDATE (PC) 73.25%
1341 CANDIDATE (PC) 80.24%
1342 CONFIRMED (CP) 51.28%
1343 CONFIRMED (CP) 89.86%
1344 CANDIDATE (PC) 78.06%
1345 FALSE POSITIVE 84.00%
1346 FALSE POSITIVE 60.00%
1347 CANDIDATE (PC) 76.31%
1348 CANDIDATE (PC) 72.65%
1349 CANDIDATE (PC) 45.57%
1350 CANDIDATE (PC) 73.48%
1351 CANDIDATE (PC) 71.17%
1352 CONFIRMED (CP) 77.59%
1353 FALSE POSITIVE 89.86%
1354 CANDIDATE (PC) 73.77%
1355 CONFIRMED (CP) 41.20%
1356 FALSE POSITIVE 40.33%
1357 CONFIRMED (CP) 73.21%
1358 CONFIRMED (CP) 75.95%
1359 FALSE POSITIVE 91.57%
1360 CONFIRMED (CP) 89.86%
1361 FALSE POSITIVE 60.72%
1362 CANDIDATE (PC) 75.13%
1363 CANDIDATE (PC) 47.52%
1364 CONFIRMED (CP) 74.72%
1365 FALSE POSITIVE 97.37%
1366 CANDIDATE (PC) 76.03%
1367 FALSE POSITIVE 77.75%
1368 CONFIRMED (CP) 74.77%
1369 CANDIDATE (PC) 44.95%
1370 CANDIDATE (PC) 77.22%
1371 CANDIDATE (PC) 78.03%
1372 CANDIDATE (PC) 54.72%
1373 CONFIRMED (CP) 48.24%
1374 CONFIRMED (CP) 44.19%
1375 CONFIRMED (CP) 92.74%
1376 CANDIDATE (PC) 78.23%
1377 CONFIRMED (CP) 65.38%
1378 CANDIDATE (PC) 80.56%
1379 FALSE POSITIVE 74.29%
1380 CANDIDATE (PC) 72.88%
1381 CANDIDATE (PC) 56.93%
1382 CONFIRMED (CP) 68.55%
1383 CANDIDATE (PC) 49.35%
1384 FALSE POSITIVE 96.37%
1385 CANDIDATE (PC) 54.73%
1386 FALSE POSITIVE 54.34%
1387 CANDIDATE (PC) 77.26%
1388 CANDIDATE (PC) 58.89%
1389 CANDIDATE (PC) 71.61%
1390 CONFIRMED (CP) 41.50%
1391 FALSE POSITIVE 87.03%
1392 CONFIRMED (CP) 90.03%
1393 FALSE POSITIVE 62.85%
1394 CONFIRMED (CP) 90.08%
1395 CANDIDATE (PC) 67.10%
1396 CANDIDATE (PC) 64.94%
1397 CONFIRMED (CP) 70.44%
1398 FALSE POSITIVE 73.82%
1399 CANDIDATE (PC) 53.95%
1400 CANDIDATE (PC) 71.94%
1401 FALSE POSITIVE 94.44%
1402 CANDIDATE (PC) 62.99%
1403 CANDIDATE (PC) 54.00%
1404 CANDIDATE (PC) 76.25%
1405 FALSE POSITIVE 42.02%
1406 FALSE POSITIVE 97.87%
1407 CONFIRMED (CP) 89.74%
1408 FALSE POSITIVE 51.46%
1409 CONFIRMED (CP) 69.17%
1410 CANDIDATE (PC) 74.97%
1411 CANDIDATE (PC) 68.08%
1412 CANDIDATE (PC) 44.82%
1413 CONFIRMED (CP) 43.66%
1414 FALSE POSITIVE 60.22%
1415 CONFIRMED (CP) 92.82%
1416 CANDIDATE (PC) 66.71%
1417 CONFIRMED (CP) 51.52%
1418 CONFIRMED (CP) 90.13%
1419 CANDIDATE (PC) 57.58%
1420 CONFIRMED (CP) 89.71%
1421 CANDIDATE (PC) 54.73%
1422 CANDIDATE (PC) 54.57%
1423 FALSE POSITIVE 97.21%
1424 CONFIRMED (CP) 46.73%
1425 CONFIRMED (CP) 51.09%
1426 CANDIDATE (PC) 71.12%
1427 CANDIDATE (PC) 68.41%
1428 CANDIDATE (PC) 54.73%
1429 CANDIDATE (PC) 55.39%
1430 CANDIDATE (PC) 48.16%
1431 CANDIDATE (PC) 74.26%
1432 CANDIDATE (PC) 40.21%
1433 CANDIDATE (PC) 42.02%
1434 CANDIDATE (PC) 74.56%
1435 FALSE POSITIVE 82.22%
1436 CANDIDATE (PC) 77.73%
1437 FALSE POSITIVE 91.79%
1438 CONFIRMED (CP) 92.68%
1439 FALSE POSITIVE 73.78%
1440 CANDIDATE (PC) 78.45%
1441 FALSE POSITIVE 87.41%
1442 FALSE POSITIVE 40.96%
1443 CANDIDATE (PC) 73.04%
1444 CANDIDATE (PC) 52.01%
1445 FALSE POSITIVE 37.90%
1446 CANDIDATE (PC) 53.93%
1447 CONFIRMED (CP) 69.92%
1448 CONFIRMED (CP) 52.02%
1449 CANDIDATE (PC) 68.46%
