RESULTADOS DEL MODELO: RandomForest
734 FALSE POSITIVE 57.11%
735 CONFIRMED (CP) 91.27%
736 CANDIDATE (PC) 64.74%
737 CONFIRMED (CP) 41.03%
738 FALSE POSITIVE 63.46%
739 CANDIDATE (PC) 95.96%
740 FALSE POSITIVE 63.24%
741 CONFIRMED (CP) 92.35%
742 FALSE POSITIVE 99.59%
743 CANDIDATE (PC) 82.67%
744 CANDIDATE (PC) 88.56%
745 CANDIDATE (PC) 85.92%
746 FALSE POSITIVE 87.82%
747 FALSE POSITIVE 55.81%
748 CANDIDATE (PC) 66.54%
749 CANDIDATE (PC) 37.46%
750 CONFIRMED (CP) 94.84%
751 CONFIRMED (CP) 91.40%
752 CANDIDATE (PC) 82.03%
753 CONFIRMED (CP) 78.68%
754 CONFIRMED (CP) 90.59%
755 FALSE POSITIVE 79.61%
756 FALSE POSITIVE 80.29%
757 CANDIDATE (PC) 89.37%
758 CANDIDATE (PC) 43.85%
759 CANDIDATE (PC) 80.60%
760 CANDIDATE (PC) 83.50%
761 CONFIRMED (CP) 88.01%
762 FALSE POSITIVE 45.00%
763 FALSE POSITIVE 99.63%
764 CANDIDATE (PC) 73.10%
765 CANDIDATE (PC) 47.98%
766 FALSE POSITIVE 84.41%
767 CONFIRMED (CP) 94.11%
768 CONFIRMED (CP) 96.42%
769 CANDIDATE (PC) 67.71%
770 CANDIDATE (PC) 65.76%
771 CANDIDATE (PC) 81.48%
772 FALSE POSITIVE 50.08%
773 FALSE POSITIVE 74.96%
774 FALSE POSITIVE 91.55%
775 CANDIDATE (PC) 53.32%
776 FALSE POSITIVE 49.62%
777 CANDIDATE (PC) 80.68%
778 FALSE POSITIVE 99.65%
779 FALSE POSITIVE 88.09%
780 CANDIDATE (PC) 89.33%
781 CONFIRMED (CP) 90.16%
782 CONFIRMED (CP) 91.88%
783 CONFIRMED (CP) 44.09%
784 FALSE POSITIVE 60.38%
785 FALSE POSITIVE 95.88%
786 CANDIDATE (PC) 91.41%
787 CANDIDATE (PC) 92.91%
788 CANDIDATE (PC) 90.75%
789 CANDIDATE (PC) 84.30%
790 CONFIRMED (CP) 88.26%
791 CANDIDATE (PC) 42.08%
792 FALSE POSITIVE 88.53%
793 CONFIRMED (CP) 83.98%
794 CONFIRMED (CP) 66.07%
795 CANDIDATE (PC) 52.97%
796 FALSE POSITIVE 99.49%
797 CONFIRMED (CP) 88.43%
798 CANDIDATE (PC) 89.63%
799 CANDIDATE (PC) 39.63%
800 FALSE POSITIVE 83.68%
801 CANDIDATE (PC) 53.59%
802 CONFIRMED (CP) 94.69%
803 CANDIDATE (PC) 89.68%
804 FALSE POSITIVE 98.22%
805 CANDIDATE (PC) 89.11%
806 FALSE POSITIVE 47.89%
807 CANDIDATE (PC) 48.87%
808 CONFIRMED (CP) 90.08%
809 CANDIDATE (PC) 51.89%
810 CONFIRMED (CP) 75.20%
811 CONFIRMED (CP) 97.15%
812 CANDIDATE (PC) 82.31%
813 CANDIDATE (PC) 91.17%
814 CANDIDATE (PC) 77.30%
815 CONFIRMED (CP) 87.98%
816 CONFIRMED (CP) 42.18%
817 CONFIRMED (CP) 56.81%
818 CONFIRMED (CP) 91.21%
819 CANDIDATE (PC) 79.88%
820 CANDIDATE (PC) 90.47%
821 FALSE POSITIVE 75.40%
822 CANDIDATE (PC) 88.45%
823 CANDIDATE (PC) 41.44%
824 FALSE POSITIVE 97.50%
825 CONFIRMED (CP) 34.92%
826 CANDIDATE (PC) 91.61%
827 CONFIRMED (CP) 95.37%
828 FALSE POSITIVE 70.70%
829 FALSE POSITIVE 53.94%
830 CANDIDATE (PC) 80.98%
831 CANDIDATE (PC) 54.83%
832 CANDIDATE (PC) 95.83%
833 CANDIDATE (PC) 77.71%
834 CONFIRMED (CP) 70.54%
835 CONFIRMED (CP) 95.04%
836 CANDIDATE (PC) 86.52%
837 FALSE POSITIVE 63.73%
838 CANDIDATE (PC) 88.14%
839 FALSE POSITIVE 79.49%
840 CANDIDATE (PC) 88.34%
841 CANDIDATE (PC) 91.10%
842 CANDIDATE (PC) 65.15%
843 CONFIRMED (CP) 80.68%
844 FALSE POSITIVE 99.99%
845 CANDIDATE (PC) 66.16%
846 FALSE POSITIVE 99.63%
847 CANDIDATE (PC) 85.39%
848 CANDIDATE (PC) 89.00%
849 CANDIDATE (PC) 67.53%
850 CANDIDATE (PC) 80.05%
851 CONFIRMED (CP) 71.35%
852 CANDIDATE (PC) 89.72%
853 CANDIDATE (PC) 77.99%
854 CONFIRMED (CP) 97.60%
855 CANDIDATE (PC) 55.89%
856 CONFIRMED (CP) 90.85%
857 CANDIDATE (PC) 96.27%
858 FALSE POSITIVE 86.32%
859 CONFIRMED (CP) 69.32%
860 FALSE POSITIVE 92.22%
861 CONFIRMED (CP) 65.14%
862 CANDIDATE (PC) 54.34%
863 CANDIDATE (PC) 75.01%
864 FALSE POSITIVE 99.65%
865 CANDIDATE (PC) 64.34%
866 CONFIRMED (CP) 92.87%
867 FALSE POSITIVE 92.97%
868 FALSE POSITIVE 94.21%
869 CANDIDATE (PC) 78.20%
870 CONFIRMED (CP) 82.66%
871 CANDIDATE (PC) 78.95%
872 CONFIRMED (CP) 86.49%
873 CONFIRMED (CP) 90.24%
874 CANDIDATE (PC) 84.97%
875 CONFIRMED (CP) 39.97%
876 CONFIRMED (CP) 87.60%
877 CANDIDATE (PC) 64.58%
878 CANDIDATE (PC) 90.07%
879 FALSE POSITIVE 91.87%
880 FALSE POSITIVE 96.99%
881 CANDIDATE (PC) 44.55%
882 CANDIDATE (PC) 49.88%
883 CONFIRMED (CP) 91.94%
884 CANDIDATE (PC) 80.86%
885 FALSE POSITIVE 92.53%
886 FALSE POSITIVE 99.77%
887 CANDIDATE (PC) 81.95%
888 CANDIDATE (PC) 40.57%
889 CANDIDATE (PC) 79.23%
890 FALSE POSITIVE 51.46%
891 CANDIDATE (PC) 83.59%
892 FALSE POSITIVE 73.43%
893 CANDIDATE (PC) 82.11%
894 CONFIRMED (CP) 66.63%
895 FALSE POSITIVE 69.14%
896 FALSE POSITIVE 67.81%
897 CANDIDATE (PC) 90.19%
898 CONFIRMED (CP) 91.91%
899 FALSE POSITIVE 90.88%
900 FALSE POSITIVE 99.65%
901 CONFIRMED (CP) 36.10%
902 CANDIDATE (PC) 89.59%
903 FALSE POSITIVE 54.11%
904 CANDIDATE (PC) 86.63%
905 CANDIDATE (PC) 52.90%
906 CANDIDATE (PC) 94.66%
907 CONFIRMED (CP) 91.02%
908 CANDIDATE (PC) 64.89%
909 CONFIRMED (CP) 57.36%
910 FALSE POSITIVE 99.63%
911 CONFIRMED (CP) 80.10%
912 CANDIDATE (PC) 78.95%
913 CONFIRMED (CP) 87.51%
914 CONFIRMED (CP) 95.35%
915 CONFIRMED (CP) 65.26%
916 CONFIRMED (CP) 62.18%
917 FALSE POSITIVE 96.51%
918 CONFIRMED (CP) 97.15%
919 FALSE POSITIVE 41.83%
920 FALSE POSITIVE 86.81%
921 FALSE POSITIVE 57.26%
922 CONFIRMED (CP) 78.16%
923 CONFIRMED (CP) 93.52%
924 CANDIDATE (PC) 91.75%
925 CANDIDATE (PC) 69.25%
926 CONFIRMED (CP) 96.73%
927 CONFIRMED (CP) 66.34%
928 CANDIDATE (PC) 52.80%
929 FALSE POSITIVE 99.29%
930 CONFIRMED (CP) 86.72%
931 FALSE POSITIVE 80.50%
932 FALSE POSITIVE 98.82%
933 FALSE POSITIVE 93.83%
934 CANDIDATE (PC) 79.15%
935 CONFIRMED (CP) 90.56%
936 FALSE POSITIVE 50.46%
937 CONFIRMED (CP) 87.24%
938 CONFIRMED (CP) 55.30%
939 CANDIDATE (PC) 40.50%
940 FALSE POSITIVE 93.99%
941 CANDIDATE (PC) 53.33%
942 CONFIRMED (CP) 53.54%
943 CONFIRMED (CP) 72.66%
944 CONFIRMED (CP) 59.14%
945 CONFIRMED (CP) 86.69%
946 CONFIRMED (CP) 40.91%
947 CONFIRMED (CP) 94.68%
948 CANDIDATE (PC) 76.18%
949 CONFIRMED (CP) 50.85%
950 CANDIDATE (PC) 66.51%
951 CANDIDATE (PC) 88.27%
952 CANDIDATE (PC) 91.49%
953 CONFIRMED (CP) 70.95%
954 FALSE POSITIVE 97.06%
955 CANDIDATE (PC) 59.57%
956 FALSE POSITIVE 99.99%
957 CANDIDATE (PC) 85.14%
958 CANDIDATE (PC) 85.56%
959 CANDIDATE (PC) 85.04%
960 FALSE POSITIVE 57.87%
961 CANDIDATE (PC) 56.74%
962 CANDIDATE (PC) 51.89%
963 CANDIDATE (PC) 84.67%
964 FALSE POSITIVE 99.78%
965 CANDIDATE (PC) 67.65%
966 CONFIRMED (CP) 54.31%
967 CANDIDATE (PC) 89.87%
968 FALSE POSITIVE 39.01%
969 CONFIRMED (CP) 88.83%
970 FALSE POSITIVE 59.78%
971 FALSE POSITIVE 55.54%
972 FALSE POSITIVE 89.42%
973 CANDIDATE (PC) 89.18%
974 CANDIDATE (PC) 86.57%
975 CONFIRMED (CP) 91.14%
976 CONFIRMED (CP) 95.35%
977 CANDIDATE (PC) 87.27%
978 CONFIRMED (CP) 62.93%
979 CANDIDATE (PC) 89.77%
980 FALSE POSITIVE 99.27%
981 CANDIDATE (PC) 89.92%
982 CANDIDATE (PC) 82.43%
983 CANDIDATE (PC) 78.08%
984 FALSE POSITIVE 99.98%
985 CONFIRMED (CP) 80.24%
986 FALSE POSITIVE 77.89%
987 FALSE POSITIVE 75.41%
988 CONFIRMED (CP) 97.35%
989 FALSE POSITIVE 98.22%
990 CONFIRMED (CP) 97.61%
991 CANDIDATE (PC) 61.48%
992 FALSE POSITIVE 96.94%
993 CANDIDATE (PC) 47.69%
994 CONFIRMED (CP) 93.22%
995 FALSE POSITIVE 60.29%
996 CONFIRMED (CP) 95.65%
997 CANDIDATE (PC) 80.62%
998 FALSE POSITIVE 62.49%
999 CONFIRMED (CP) 56.51%
1000 FALSE POSITIVE 99.39%
1001 CANDIDATE (PC) 60.64%
1002 CONFIRMED (CP) 67.70%
1003 FALSE POSITIVE 91.20%
1004 CONFIRMED (CP) 88.83%
1005 CONFIRMED (CP) 86.26%
1006 FALSE POSITIVE 59.48%
1007 CANDIDATE (PC) 61.08%
1008 FALSE POSITIVE 87.29%
1009 CANDIDATE (PC) 87.90%
1010 CONFIRMED (CP) 88.36%
1011 CANDIDATE (PC) 82.72%
1012 CANDIDATE (PC) 80.39%
1013 CANDIDATE (PC) 87.28%
1014 CONFIRMED (CP) 48.71%
1015 CONFIRMED (CP) 40.75%
1016 CANDIDATE (PC) 56.09%
1017 CANDIDATE (PC) 91.57%
1018 FALSE POSITIVE 99.98%
1019 CANDIDATE (PC) 72.39%
1020 FALSE POSITIVE 99.31%
1021 CANDIDATE (PC) 86.97%
1022 CONFIRMED (CP) 97.84%
1023 FALSE POSITIVE 42.82%
1024 CONFIRMED (CP) 91.35%
1025 CANDIDATE (PC) 86.46%
1026 CONFIRMED (CP) 49.89%
1027 FALSE POSITIVE 88.93%
1028 CONFIRMED (CP) 97.55%
1029 FALSE POSITIVE 84.99%
1030 FALSE POSITIVE 98.72%
1031 CONFIRMED (CP) 97.00%
1032 CONFIRMED (CP) 46.65%
1033 FALSE POSITIVE 42.83%
1034 CANDIDATE (PC) 89.58%
1035 CANDIDATE (PC) 78.72%
1036 CANDIDATE (PC) 45.89%
1037 FALSE POSITIVE 99.91%
1038 FALSE POSITIVE 97.18%
1039 CANDIDATE (PC) 75.79%
1040 FALSE POSITIVE 96.63%
1041 CANDIDATE (PC) 87.63%
1042 CONFIRMED (CP) 81.70%
1043 CONFIRMED (CP) 94.31%
1044 CONFIRMED (CP) 89.90%
1045 CONFIRMED (CP) 42.18%
1046 CANDIDATE (PC) 84.02%
1047 CANDIDATE (PC) 84.95%
1048 CONFIRMED (CP) 92.32%
1049 FALSE POSITIVE 88.85%
1050 FALSE POSITIVE 99.98%
1051 CANDIDATE (PC) 52.50%
1052 CONFIRMED (CP) 36.60%
1053 CONFIRMED (CP) 96.27%
1054 CANDIDATE (PC) 95.56%
1055 CONFIRMED (CP) 95.46%
1056 CANDIDATE (PC) 86.00%
1057 CANDIDATE (PC) 90.66%
1058 CANDIDATE (PC) 66.75%
1059 CANDIDATE (PC) 78.73%
1060 CANDIDATE (PC) 86.75%
1061 CANDIDATE (PC) 85.98%
1062 CANDIDATE (PC) 89.28%
1063 CANDIDATE (PC) 90.02%
1064 FALSE POSITIVE 99.51%
1065 FALSE POSITIVE 87.22%
1066 CANDIDATE (PC) 89.32%
1067 CONFIRMED (CP) 54.33%
1068 CANDIDATE (PC) 79.23%
1069 CANDIDATE (PC) 78.21%
1070 CANDIDATE (PC) 87.42%
1071 CONFIRMED (CP) 90.91%
1072 FALSE POSITIVE 98.32%
1073 CANDIDATE (PC) 86.79%
1074 CANDIDATE (PC) 87.37%
1075 CONFIRMED (CP) 95.91%
1076 CONFIRMED (CP) 95.44%
1077 CANDIDATE (PC) 84.96%
1078 CANDIDATE (PC) 89.23%
1079 CONFIRMED (CP) 93.49%
1080 FALSE POSITIVE 75.26%
1081 CONFIRMED (CP) 76.90%
1082 CANDIDATE (PC) 49.68%
1083 CANDIDATE (PC) 90.13%
1084 CANDIDATE (PC) 39.29%
1085 FALSE POSITIVE 76.57%
1086 CONFIRMED (CP) 36.89%
1087 CANDIDATE (PC) 68.08%
1088 CONFIRMED (CP) 52.62%
1089 CANDIDATE (PC) 89.81%
1090 FALSE POSITIVE 97.02%
1091 FALSE POSITIVE 99.99%
1092 CANDIDATE (PC) 80.70%
1093 CANDIDATE (PC) 69.02%
1094 FALSE POSITIVE 48.30%
1095 CONFIRMED (CP) 89.75%
1096 FALSE POSITIVE 48.81%
1097 CANDIDATE (PC) 77.90%
1098 FALSE POSITIVE 99.96%
1099 FALSE POSITIVE 62.80%
1100 FALSE POSITIVE 42.34%
1101 CONFIRMED (CP) 61.32%
1102 CANDIDATE (PC) 68.39%
1103 CANDIDATE (PC) 88.83%
1104 CANDIDATE (PC) 57.15%
1105 CANDIDATE (PC) 50.51%
1106 FALSE POSITIVE 97.86%
1107 CONFIRMED (CP) 94.10%
1108 CONFIRMED (CP) 81.95%
1109 FALSE POSITIVE 57.17%
1110 CONFIRMED (CP) 98.21%
1111 CANDIDATE (PC) 83.77%
1112 CANDIDATE (PC) 54.71%
1113 FALSE POSITIVE 50.46%
1114 CANDIDATE (PC) 82.44%
1115 CANDIDATE (PC) 89.56%
1116 CONFIRMED (CP) 50.42%
1117 CONFIRMED (CP) 49.56%
1118 CANDIDATE (PC) 53.90%
1119 CANDIDATE (PC) 64.91%
1120 FALSE POSITIVE 98.04%
1121 CANDIDATE (PC) 91.55%
1122 CONFIRMED (CP) 92.14%
1123 CANDIDATE (PC) 49.94%
1124 CANDIDATE (PC) 59.57%
1125 CONFIRMED (CP) 93.81%
1126 CANDIDATE (PC) 90.22%
1127 CONFIRMED (CP) 70.85%
1128 CANDIDATE (PC) 90.12%
1129 CANDIDATE (PC) 89.28%
1130 CONFIRMED (CP) 92.45%
1131 CANDIDATE (PC) 87.46%
1132 CANDIDATE (PC) 59.69%
1133 FALSE POSITIVE 73.29%
1134 CONFIRMED (CP) 91.43%
1135 FALSE POSITIVE 65.94%
1136 CANDIDATE (PC) 89.66%
1137 CANDIDATE (PC) 96.11%
1138 CONFIRMED (CP) 84.63%
1139 CANDIDATE (PC) 88.96%
1140 FALSE POSITIVE 99.82%
1141 CONFIRMED (CP) 60.54%
1142 CANDIDATE (PC) 47.63%
1143 CANDIDATE (PC) 82.12%
1144 FALSE POSITIVE 98.66%
1145 CANDIDATE (PC) 52.76%
1146 CANDIDATE (PC) 84.57%
1147 CONFIRMED (CP) 93.86%
1148 CONFIRMED (CP) 94.12%
1149 CANDIDATE (PC) 82.83%
1150 FALSE POSITIVE 55.74%
1151 CONFIRMED (CP) 93.52%
1152 CANDIDATE (PC) 78.17%
1153 CONFIRMED (CP) 67.29%
1154 FALSE POSITIVE 48.57%
1155 CANDIDATE (PC) 85.39%
1156 CANDIDATE (PC) 83.79%
1157 CANDIDATE (PC) 44.62%
1158 CANDIDATE (PC) 70.16%
1159 CANDIDATE (PC) 44.25%
1160 FALSE POSITIVE 99.68%
1161 FALSE POSITIVE 99.99%
1162 CONFIRMED (CP) 85.27%
1163 CONFIRMED (CP) 99.42%
1164 FALSE POSITIVE 52.25%
1165 FALSE POSITIVE 40.30%
1166 CONFIRMED (CP) 98.40%
1167 CANDIDATE (PC) 57.79%
1168 FALSE POSITIVE 98.27%
1169 CANDIDATE (PC) 88.71%
1170 CANDIDATE (PC) 54.85%
1171 CONFIRMED (CP) 76.43%
1172 CONFIRMED (CP) 71.31%
1173 CONFIRMED (CP) 95.28%
1174 CANDIDATE (PC) 75.63%
1175 CANDIDATE (PC) 46.37%
1176 FALSE POSITIVE 85.10%
1177 CONFIRMED (CP) 68.63%
1178 CANDIDATE (PC) 69.24%
1179 CONFIRMED (CP) 96.45%
1180 CONFIRMED (CP) 97.14%
1181 CONFIRMED (CP) 92.13%
1182 FALSE POSITIVE 61.72%
1183 FALSE POSITIVE 66.70%
1184 CONFIRMED (CP) 92.86%
1185 CONFIRMED (CP) 94.91%
1186 FALSE POSITIVE 82.06%
1187 FALSE POSITIVE 62.69%
1188 CANDIDATE (PC) 88.01%
1189 FALSE POSITIVE 92.26%
1190 CONFIRMED (CP) 81.19%
1191 CONFIRMED (CP) 93.99%
1192 FALSE POSITIVE 81.78%
1193 CONFIRMED (CP) 69.64%
1194 FALSE POSITIVE 89.75%
1195 CANDIDATE (PC) 69.38%
1196 FALSE POSITIVE 99.65%
1197 FALSE POSITIVE 69.90%
1198 CANDIDATE (PC) 48.11%
1199 CANDIDATE (PC) 47.26%
1200 FALSE POSITIVE 99.61%
1201 CANDIDATE (PC) 89.88%
1202 CANDIDATE (PC) 39.88%
1203 FALSE POSITIVE 71.44%
1204 FALSE POSITIVE 60.33%
1205 CONFIRMED (CP) 86.28%
1206 FALSE POSITIVE 89.26%
1207 CONFIRMED (CP) 96.00%
1208 CONFIRMED (CP) 53.31%
1209 FALSE POSITIVE 93.00%
1210 FALSE POSITIVE 51.77%
1211 FALSE POSITIVE 66.86%
1212 CANDIDATE (PC) 86.59%
1213 CANDIDATE (PC) 89.16%
1214 FALSE POSITIVE 97.13%
1215 FALSE POSITIVE 68.86%
1216 CONFIRMED (CP) 49.03%
1217 CONFIRMED (CP) 97.95%
1218 FALSE POSITIVE 98.17%
1219 FALSE POSITIVE 53.55%
1220 CANDIDATE (PC) 87.63%
1221 CONFIRMED (CP) 80.96%
1222 CONFIRMED (CP) 46.48%
1223 FALSE POSITIVE 50.09%
1224 CANDIDATE (PC) 81.79%
1225 CANDIDATE (PC) 80.66%
1226 CONFIRMED (CP) 55.27%
1227 FALSE POSITIVE 82.30%
1228 FALSE POSITIVE 63.91%
1229 FALSE POSITIVE 64.88%
1230 FALSE POSITIVE 96.21%
1231 CANDIDATE (PC) 83.43%
1232 FALSE POSITIVE 99.64%
1233 FALSE POSITIVE 57.05%
1234 FALSE POSITIVE 71.86%
1235 CONFIRMED (CP) 36.32%
1236 CONFIRMED (CP) 61.48%
1237 CANDIDATE (PC) 86.93%
1238 FALSE POSITIVE 68.02%
1239 CONFIRMED (CP) 91.83%
1240 CANDIDATE (PC) 89.33%
1241 CANDIDATE (PC) 51.13%
1242 FALSE POSITIVE 98.96%
1243 CONFIRMED (CP) 68.17%
1244 CANDIDATE (PC) 65.10%
1245 FALSE POSITIVE 96.77%
1246 CANDIDATE (PC) 57.09%
1247 CONFIRMED (CP) 93.37%
1248 CONFIRMED (CP) 73.19%
1249 CONFIRMED (CP) 62.80%
1250 CONFIRMED (CP) 91.36%
1251 CANDIDATE (PC) 90.93%
1252 FALSE POSITIVE 52.53%
1253 CANDIDATE (PC) 46.34%
1254 CANDIDATE (PC) 78.17%
1255 CONFIRMED (CP) 94.13%
1256 CANDIDATE (PC) 66.46%
1257 CONFIRMED (CP) 46.72%
1258 CONFIRMED (CP) 67.78%
1259 FALSE POSITIVE 77.45%
1260 CONFIRMED (CP) 90.46%
1261 CANDIDATE (PC) 46.14%
1262 FALSE POSITIVE 68.57%
1263 CONFIRMED (CP) 43.89%
1264 CANDIDATE (PC) 87.27%
1265 CONFIRMED (CP) 74.38%
1266 FALSE POSITIVE 96.20%
1267 FALSE POSITIVE 61.96%
1268 CONFIRMED (CP) 92.22%
1269 FALSE POSITIVE 60.10%
1270 FALSE POSITIVE 46.69%
1271 CANDIDATE (PC) 71.26%
1272 CANDIDATE (PC) 65.32%
1273 CANDIDATE (PC) 88.71%
1274 CANDIDATE (PC) 42.28%
1275 CANDIDATE (PC) 64.13%
1276 CANDIDATE (PC) 83.70%
1277 CONFIRMED (CP) 88.23%
1278 CONFIRMED (CP) 58.16%
1279 FALSE POSITIVE 54.00%
1280 CONFIRMED (CP) 93.50%
1281 CANDIDATE (PC) 64.24%
1282 FALSE POSITIVE 96.14%
1283 CANDIDATE (PC) 91.03%
1284 FALSE POSITIVE 72.74%
1285 CANDIDATE (PC) 86.56%
1286 FALSE POSITIVE 99.34%
1287 FALSE POSITIVE 67.30%
1288 CANDIDATE (PC) 60.17%
1289 CANDIDATE (PC) 94.89%
1290 CANDIDATE (PC) 40.58%
1291 FALSE POSITIVE 96.96%
1292 FALSE POSITIVE 77.80%
1293 CANDIDATE (PC) 61.73%
1294 CONFIRMED (CP) 81.28%
1295 FALSE POSITIVE 75.62%
1296 CONFIRMED (CP) 95.23%
1297 CONFIRMED (CP) 33.82%
1298 FALSE POSITIVE 47.32%
1299 FALSE POSITIVE 97.36%
1300 CONFIRMED (CP) 64.16%
1301 FALSE POSITIVE 73.97%
1302 CANDIDATE (PC) 94.15%
1303 CANDIDATE (PC) 95.20%
1304 CONFIRMED (CP) 77.70%
1305 CANDIDATE (PC) 81.81%
1306 CONFIRMED (CP) 65.65%
1307 FALSE POSITIVE 46.77%
1308 CONFIRMED (CP) 92.50%
1309 FALSE POSITIVE 52.60%
1310 CONFIRMED (CP) 93.54%
1311 CONFIRMED (CP) 90.63%
1312 CANDIDATE (PC) 83.44%
1313 CANDIDATE (PC) 56.20%
1314 FALSE POSITIVE 89.71%
1315 FALSE POSITIVE 85.07%
1316 FALSE POSITIVE 98.31%
1317 CANDIDATE (PC) 49.92%
1318 CONFIRMED (CP) 81.81%
1319 FALSE POSITIVE 53.89%
1320 CANDIDATE (PC) 53.03%
1321 CONFIRMED (CP) 45.38%
1322 CANDIDATE (PC) 64.40%
1323 CONFIRMED (CP) 97.35%
1324 CANDIDATE (PC) 68.19%
1325 CANDIDATE (PC) 94.30%
1326 CANDIDATE (PC) 79.17%
1327 CANDIDATE (PC) 83.89%
1328 CANDIDATE (PC) 50.63%
1329 FALSE POSITIVE 57.99%
1330 FALSE POSITIVE 99.58%
1331 CANDIDATE (PC) 93.62%
1332 FALSE POSITIVE 59.38%
1333 CANDIDATE (PC) 82.61%
1334 FALSE POSITIVE 56.46%
1335 CANDIDATE (PC) 69.18%
1336 FALSE POSITIVE 97.14%
1337 CONFIRMED (CP) 88.59%
1338 CANDIDATE (PC) 84.72%
1339 CANDIDATE (PC) 90.24%
1340 CANDIDATE (PC) 89.01%
1341 CANDIDATE (PC) 95.61%
1342 CONFIRMED (CP) 53.35%
1343 CONFIRMED (CP) 82.39%
1344 CANDIDATE (PC) 90.12%
1345 CONFIRMED (CP) 85.10%
1346 CONFIRMED (CP) 87.13%
1347 CANDIDATE (PC) 70.61%
1348 CANDIDATE (PC) 72.45%
1349 CONFIRMED (CP) 93.54%
1350 CANDIDATE (PC) 88.80%
1351 CANDIDATE (PC) 82.77%
1352 CONFIRMED (CP) 52.93%
1353 FALSE POSITIVE 83.53%
1354 CANDIDATE (PC) 88.29%
1355 CONFIRMED (CP) 91.69%
1356 FALSE POSITIVE 52.26%
1357 CONFIRMED (CP) 96.70%
1358 CANDIDATE (PC) 47.06%
1359 FALSE POSITIVE 99.31%
1360 CONFIRMED (CP) 96.58%
1361 FALSE POSITIVE 47.91%
1362 CANDIDATE (PC) 89.87%
1363 CONFIRMED (CP) 90.41%
1364 CONFIRMED (CP) 94.47%
1365 FALSE POSITIVE 96.07%
1366 CANDIDATE (PC) 62.36%
1367 FALSE POSITIVE 47.05%
1368 CONFIRMED (CP) 85.29%
1369 CANDIDATE (PC) 57.58%
1370 CANDIDATE (PC) 88.55%
1371 CANDIDATE (PC) 94.72%
1372 CANDIDATE (PC) 86.26%
1373 CANDIDATE (PC) 42.12%
1374 CONFIRMED (CP) 68.02%
1375 CONFIRMED (CP) 97.19%
1376 CANDIDATE (PC) 57.00%
1377 CANDIDATE (PC) 42.76%
1378 CANDIDATE (PC) 81.30%
1379 FALSE POSITIVE 85.69%
1380 CANDIDATE (PC) 75.45%
1381 CONFIRMED (CP) 42.16%
1382 CONFIRMED (CP) 77.73%
1383 CONFIRMED (CP) 92.84%
1384 FALSE POSITIVE 97.27%
1385 FALSE POSITIVE 74.23%
1386 FALSE POSITIVE 58.60%
1387 CANDIDATE (PC) 84.15%
1388 CANDIDATE (PC) 52.95%
1389 CONFIRMED (CP) 45.01%
1390 CONFIRMED (CP) 61.96%
1391 FALSE POSITIVE 65.37%
1392 CONFIRMED (CP) 89.70%
1393 FALSE POSITIVE 65.83%
1394 CONFIRMED (CP) 87.33%
1395 CANDIDATE (PC) 80.04%
1396 CANDIDATE (PC) 86.83%
1397 CANDIDATE (PC) 50.77%
1398 FALSE POSITIVE 82.79%
1399 FALSE POSITIVE 48.46%
1400 CANDIDATE (PC) 51.30%
1401 FALSE POSITIVE 88.62%
1402 FALSE POSITIVE 48.79%
1403 CONFIRMED (CP) 92.37%
1404 CANDIDATE (PC) 88.16%
1405 FALSE POSITIVE 46.25%
1406 FALSE POSITIVE 93.88%
1407 CONFIRMED (CP) 95.89%
1408 FALSE POSITIVE 54.46%
1409 FALSE POSITIVE 51.85%
1410 CANDIDATE (PC) 89.86%
1411 CANDIDATE (PC) 76.33%
1412 FALSE POSITIVE 69.14%
1413 CANDIDATE (PC) 55.03%
1414 FALSE POSITIVE 66.23%
1415 CONFIRMED (CP) 97.52%
1416 CANDIDATE (PC) 86.81%
1417 CONFIRMED (CP) 45.47%
1418 CONFIRMED (CP) 98.43%
1419 CANDIDATE (PC) 68.73%
1420 CONFIRMED (CP) 64.95%
1421 CANDIDATE (PC) 71.86%
1422 CONFIRMED (CP) 84.06%
1423 FALSE POSITIVE 96.56%
1424 CONFIRMED (CP) 58.94%
1425 CONFIRMED (CP) 63.92%
1426 CANDIDATE (PC) 88.03%
1427 CANDIDATE (PC) 59.78%
1428 CONFIRMED (CP) 91.39%
1429 CONFIRMED (CP) 88.08%
1430 CANDIDATE (PC) 69.22%
1431 CANDIDATE (PC) 81.19%
1432 CONFIRMED (CP) 52.42%
1433 FALSE POSITIVE 58.57%
1434 CANDIDATE (PC) 89.23%
1435 FALSE POSITIVE 70.91%
1436 CANDIDATE (PC) 84.51%
1437 FALSE POSITIVE 89.88%
1438 CONFIRMED (CP) 94.40%
1439 FALSE POSITIVE 70.87%
1440 CANDIDATE (PC) 95.77%
1441 FALSE POSITIVE 76.50%
1442 FALSE POSITIVE 69.18%
1443 CANDIDATE (PC) 77.73%
1444 CONFIRMED (CP) 92.04%
1445 FALSE POSITIVE 41.37%
1446 CANDIDATE (PC) 41.18%
1447 CONFIRMED (CP) 97.78%
1448 CONFIRMED (CP) 60.33%
1449 FALSE POSITIVE 76.21%
1450 CANDIDATE (PC) 77.61%
1451 CANDIDATE (PC) 92.70%
1452 FALSE POSITIVE 58.66%
1453 CANDIDATE (PC) 49.61%
1454 FALSE POSITIVE 68.77%
1455 CONFIRMED (CP) 48.10%
