RESULTADOS DEL MODELO: RandomForest (TestData: simple_data)
======================================================================
Accuracy General: 0.7204

Matriz de Confusión:
731 CANDIDATE (PC) 45.07%
732 CONFIRMED (CP) 64.96%
733 FALSE POSITIVE 50.17%
734 FALSE POSITIVE 53.90%
735 CONFIRMED (CP) 95.77%
736 CONFIRMED (CP) 63.38%
737 CONFIRMED (CP) 51.51%
738 FALSE POSITIVE 58.05%
739 CANDIDATE (PC) 98.57%
740 FALSE POSITIVE 67.53%
741 CONFIRMED (CP) 95.12%
742 FALSE POSITIVE 99.13%
743 CANDIDATE (PC) 46.35%
744 CANDIDATE (PC) 79.58%
745 CANDIDATE (PC) 77.07%
746 FALSE POSITIVE 69.60%
747 CANDIDATE (PC) 59.45%
748 CANDIDATE (PC) 59.23%
749 CANDIDATE (PC) 43.40%
750 CANDIDATE (PC) 54.32%
751 CONFIRMED (CP) 95.99%
752 CONFIRMED (CP) 67.19%
753 CONFIRMED (CP) 48.80%
754 CONFIRMED (CP) 90.27%
755 FALSE POSITIVE 76.15%
756 FALSE POSITIVE 83.55%
757 CANDIDATE (PC) 81.87%
758 CANDIDATE (PC) 48.65%
759 CANDIDATE (PC) 99.32%
760 CANDIDATE (PC) 63.28%
761 CONFIRMED (CP) 83.21%
762 FALSE POSITIVE 52.87%
763 FALSE POSITIVE 98.92%
764 CANDIDATE (PC) 93.72%
765 CANDIDATE (PC) 84.88%
766 FALSE POSITIVE 98.50%
767 CANDIDATE (PC) 67.52%
768 CONFIRMED (CP) 90.33%
769 CONFIRMED (CP) 62.50%
770 CONFIRMED (CP) 61.24%
771 CANDIDATE (PC) 70.12%
772 FALSE POSITIVE 64.22%
773 FALSE POSITIVE 73.64%
774 FALSE POSITIVE 93.30%
775 FALSE POSITIVE 55.17%
776 CANDIDATE (PC) 90.47%
777 CONFIRMED (CP) 50.61%
778 FALSE POSITIVE 97.47%
779 FALSE POSITIVE 99.44%
780 CANDIDATE (PC) 82.05%
781 CONFIRMED (CP) 61.34%
782 CONFIRMED (CP) 66.82%
783 CONFIRMED (CP) 74.45%
784 FALSE POSITIVE 56.72%
785 FALSE POSITIVE 89.09%
786 CANDIDATE (PC) 83.45%
787 CANDIDATE (PC) 89.15%
788 CANDIDATE (PC) 68.34%
789 CANDIDATE (PC) 82.94%
790 CONFIRMED (CP) 89.45%
791 CONFIRMED (CP) 45.75%
792 FALSE POSITIVE 92.34%
793 CONFIRMED (CP) 92.58%
794 CONFIRMED (CP) 62.16%
795 FALSE POSITIVE 53.72%
796 FALSE POSITIVE 99.40%
797 CONFIRMED (CP) 94.19%
798 CANDIDATE (PC) 72.29%
799 CANDIDATE (PC) 51.23%
800 FALSE POSITIVE 79.06%
801 CONFIRMED (CP) 78.78%
802 CONFIRMED (CP) 85.84%
803 CANDIDATE (PC) 84.20%
804 FALSE POSITIVE 98.38%
805 CANDIDATE (PC) 83.14%
806 FALSE POSITIVE 60.57%
807 CANDIDATE (PC) 70.14%
808 CONFIRMED (CP) 79.86%
809 FALSE POSITIVE 46.58%
810 CONFIRMED (CP) 73.91%
811 CONFIRMED (CP) 73.45%
812 CANDIDATE (PC) 56.31%
813 CANDIDATE (PC) 78.83%
814 CANDIDATE (PC) 84.42%
815 CONFIRMED (CP) 81.90%
816 CANDIDATE (PC) 43.08%
817 CONFIRMED (CP) 69.50%
818 CONFIRMED (CP) 58.34%
819 CONFIRMED (CP) 57.07%
820 CANDIDATE (PC) 95.84%
821 FALSE POSITIVE 59.45%
822 CANDIDATE (PC) 82.57%
823 CANDIDATE (PC) 40.32%
824 FALSE POSITIVE 96.46%
825 CONFIRMED (CP) 46.12%
826 CANDIDATE (PC) 78.03%
827 CONFIRMED (CP) 84.01%
828 FALSE POSITIVE 48.86%
829 FALSE POSITIVE 73.74%
830 CANDIDATE (PC) 80.01%
831 CONFIRMED (CP) 54.58%
832 CANDIDATE (PC) 99.71%
833 CANDIDATE (PC) 90.27%
834 CONFIRMED (CP) 77.64%
835 CONFIRMED (CP) 90.15%
836 CANDIDATE (PC) 81.06%
837 CANDIDATE (PC) 56.32%
838 CANDIDATE (PC) 81.27%
839 FALSE POSITIVE 75.33%
840 CANDIDATE (PC) 78.25%
841 CANDIDATE (PC) 85.24%
842 CANDIDATE (PC) 81.40%
843 CONFIRMED (CP) 40.14%
844 FALSE POSITIVE 95.93%
845 CANDIDATE (PC) 62.27%
846 FALSE POSITIVE 98.35%
847 CANDIDATE (PC) 81.56%
848 CONFIRMED (CP) 50.52%
849 CANDIDATE (PC) 45.31%
850 CANDIDATE (PC) 80.38%
851 CONFIRMED (CP) 77.09%
852 CANDIDATE (PC) 80.14%
853 CANDIDATE (PC) 56.72%
854 CONFIRMED (CP) 93.22%
855 CONFIRMED (CP) 58.63%
856 CONFIRMED (CP) 96.62%
857 CANDIDATE (PC) 95.10%
858 FALSE POSITIVE 69.15%
859 CONFIRMED (CP) 78.29%
860 FALSE POSITIVE 83.92%
861 CONFIRMED (CP) 79.27%
862 CANDIDATE (PC) 44.67%
863 CONFIRMED (CP) 86.09%
864 FALSE POSITIVE 98.81%
865 CANDIDATE (PC) 47.92%
866 CONFIRMED (CP) 52.58%
867 FALSE POSITIVE 89.85%
868 FALSE POSITIVE 95.41%
869 CANDIDATE (PC) 78.66%
870 CONFIRMED (CP) 92.39%
871 CONFIRMED (CP) 35.71%
872 CONFIRMED (CP) 56.58%
873 CONFIRMED (CP) 58.22%
874 CANDIDATE (PC) 75.34%
875 CONFIRMED (CP) 47.92%
876 CONFIRMED (CP) 87.21%
877 CONFIRMED (CP) 44.95%
878 CANDIDATE (PC) 82.18%
879 FALSE POSITIVE 84.02%
880 FALSE POSITIVE 97.43%
881 CANDIDATE (PC) 45.25%
882 CANDIDATE (PC) 52.66%
883 CONFIRMED (CP) 66.64%
884 CANDIDATE (PC) 85.52%
885 FALSE POSITIVE 96.83%
886 FALSE POSITIVE 71.38%
887 CANDIDATE (PC) 74.41%
888 CONFIRMED (CP) 43.27%
889 CANDIDATE (PC) 75.05%
890 FALSE POSITIVE 79.82%
891 CANDIDATE (PC) 60.92%
892 FALSE POSITIVE 53.14%
893 CANDIDATE (PC) 69.32%
894 CONFIRMED (CP) 76.83%
895 FALSE POSITIVE 63.31%
896 FALSE POSITIVE 73.67%
897 CANDIDATE (PC) 84.93%
898 CONFIRMED (CP) 90.35%
899 FALSE POSITIVE 98.07%
900 FALSE POSITIVE 98.83%
901 CANDIDATE (PC) 43.41%
902 CANDIDATE (PC) 68.63%
903 FALSE POSITIVE 65.45%
904 CANDIDATE (PC) 79.76%
905 CONFIRMED (CP) 58.46%
906 CANDIDATE (PC) 98.54%
907 CONFIRMED (CP) 47.81%
908 CANDIDATE (PC) 45.21%
909 CANDIDATE (PC) 48.86%
910 FALSE POSITIVE 99.33%
911 CONFIRMED (CP) 93.82%
912 CANDIDATE (PC) 47.73%
913 CONFIRMED (CP) 83.36%
914 CONFIRMED (CP) 87.22%
915 CONFIRMED (CP) 78.67%
916 CONFIRMED (CP) 62.42%
917 FALSE POSITIVE 98.13%
918 CONFIRMED (CP) 93.75%
919 FALSE POSITIVE 34.65%
920 FALSE POSITIVE 54.08%
921 CONFIRMED (CP) 42.78%
922 CONFIRMED (CP) 85.62%
923 CONFIRMED (CP) 61.77%
924 CANDIDATE (PC) 81.46%
925 CANDIDATE (PC) 74.63%
926 CONFIRMED (CP) 95.64%
927 CONFIRMED (CP) 65.40%
928 CONFIRMED (CP) 62.48%
929 FALSE POSITIVE 98.18%
930 CONFIRMED (CP) 75.99%
931 FALSE POSITIVE 74.09%
932 FALSE POSITIVE 98.86%
933 FALSE POSITIVE 79.03%
934 CANDIDATE (PC) 79.00%
935 CONFIRMED (CP) 94.58%
936 CANDIDATE (PC) 54.04%
937 CONFIRMED (CP) 89.83%
938 CONFIRMED (CP) 67.75%
939 CONFIRMED (CP) 37.06%
940 FALSE POSITIVE 95.68%
941 FALSE POSITIVE 65.47%
942 CONFIRMED (CP) 74.15%
943 CONFIRMED (CP) 94.51%
944 CONFIRMED (CP) 42.96%
945 CONFIRMED (CP) 73.52%
946 CONFIRMED (CP) 70.76%
947 CONFIRMED (CP) 87.71%
948 CANDIDATE (PC) 70.49%
949 CONFIRMED (CP) 42.30%
950 FALSE POSITIVE 60.68%
951 CANDIDATE (PC) 80.90%
952 CANDIDATE (PC) 79.58%
953 CONFIRMED (CP) 71.61%
954 FALSE POSITIVE 69.18%
955 CONFIRMED (CP) 54.10%
956 FALSE POSITIVE 99.91%
957 CANDIDATE (PC) 82.54%
958 CANDIDATE (PC) 79.24%
959 CANDIDATE (PC) 69.36%
960 CANDIDATE (PC) 50.98%
961 CANDIDATE (PC) 47.15%
962 CANDIDATE (PC) 66.62%
963 CANDIDATE (PC) 97.53%
964 FALSE POSITIVE 98.61%
965 CANDIDATE (PC) 57.74%
966 CONFIRMED (CP) 52.60%
967 CANDIDATE (PC) 82.23%
968 FALSE POSITIVE 44.41%
969 CONFIRMED (CP) 57.63%
970 FALSE POSITIVE 67.27%
971 FALSE POSITIVE 53.00%
972 FALSE POSITIVE 96.94%
973 CANDIDATE (PC) 69.73%
974 CANDIDATE (PC) 74.44%
975 CONFIRMED (CP) 60.30%
976 CONFIRMED (CP) 81.00%
977 CANDIDATE (PC) 92.18%
978 CONFIRMED (CP) 80.06%
979 CANDIDATE (PC) 67.03%
980 FALSE POSITIVE 99.30%
981 CANDIDATE (PC) 81.29%
982 CANDIDATE (PC) 66.62%
983 CANDIDATE (PC) 75.05%
984 FALSE POSITIVE 98.71%
985 CONFIRMED (CP) 85.87%
986 FALSE POSITIVE 68.90%
987 FALSE POSITIVE 80.80%
988 CONFIRMED (CP) 88.73%
989 FALSE POSITIVE 98.37%
990 CONFIRMED (CP) 91.88%
991 CONFIRMED (CP) 37.87%
992 FALSE POSITIVE 82.66%
993 CANDIDATE (PC) 56.57%
994 CONFIRMED (CP) 45.26%
995 CANDIDATE (PC) 64.92%
996 CONFIRMED (CP) 93.22%
997 CANDIDATE (PC) 58.71%
998 FALSE POSITIVE 61.84%
999 CONFIRMED (CP) 70.76%
1000 FALSE POSITIVE 99.29%
1001 CANDIDATE (PC) 58.95%
1002 CONFIRMED (CP) 79.93%
1003 FALSE POSITIVE 97.86%
1004 CANDIDATE (PC) 70.93%
1005 CONFIRMED (CP) 59.87%
1006 CANDIDATE (PC) 52.56%
1007 CANDIDATE (PC) 42.05%
1008 FALSE POSITIVE 72.17%
1009 CANDIDATE (PC) 81.28%
1010 CANDIDATE (PC) 38.90%
1011 CANDIDATE (PC) 75.21%
1012 CANDIDATE (PC) 84.08%
1013 CANDIDATE (PC) 95.11%
1014 CONFIRMED (CP) 47.76%
1015 CANDIDATE (PC) 37.17%
1016 CANDIDATE (PC) 56.50%
1017 CANDIDATE (PC) 85.25%
1018 FALSE POSITIVE 98.54%
1019 CANDIDATE (PC) 93.64%
1020 FALSE POSITIVE 82.84%
1021 CANDIDATE (PC) 80.28%
1022 CONFIRMED (CP) 94.21%
1023 FALSE POSITIVE 45.89%
1024 CONFIRMED (CP) 65.67%
1025 CANDIDATE (PC) 85.14%
1026 CONFIRMED (CP) 46.66%
1027 FALSE POSITIVE 60.67%
1028 CONFIRMED (CP) 93.99%
1029 FALSE POSITIVE 78.74%
1030 FALSE POSITIVE 92.72%
1031 CONFIRMED (CP) 89.67%
1032 CANDIDATE (PC) 46.43%
1033 FALSE POSITIVE 54.96%
1034 CANDIDATE (PC) 75.95%
1035 CANDIDATE (PC) 71.53%
1036 CANDIDATE (PC) 45.92%
1037 FALSE POSITIVE 94.98%
1038 FALSE POSITIVE 99.29%
1039 CANDIDATE (PC) 74.67%
1040 FALSE POSITIVE 99.54%
1041 CANDIDATE (PC) 80.74%
1042 CANDIDATE (PC) 43.89%
1043 CONFIRMED (CP) 95.21%
1044 CONFIRMED (CP) 74.28%
1045 CONFIRMED (CP) 46.89%
1046 CANDIDATE (PC) 90.87%
1047 CANDIDATE (PC) 97.62%
1048 CONFIRMED (CP) 59.77%
1049 FALSE POSITIVE 91.29%
1050 FALSE POSITIVE 99.31%
1051 CONFIRMED (CP) 50.58%
1052 CONFIRMED (CP) 42.28%
1053 CONFIRMED (CP) 64.75%
1054 CANDIDATE (PC) 98.89%
1055 CONFIRMED (CP) 82.31%
1056 CANDIDATE (PC) 83.30%
1057 CANDIDATE (PC) 81.24%
1058 CANDIDATE (PC) 78.70%
1059 CANDIDATE (PC) 55.79%
1060 CANDIDATE (PC) 85.01%
1061 CANDIDATE (PC) 62.85%
1062 CANDIDATE (PC) 65.48%
1063 CANDIDATE (PC) 83.42%
1064 FALSE POSITIVE 97.00%
1065 FALSE POSITIVE 93.09%
1066 CANDIDATE (PC) 82.14%
1067 CONFIRMED (CP) 60.44%
1068 CANDIDATE (PC) 97.03%
1069 CANDIDATE (PC) 82.34%
1070 CANDIDATE (PC) 80.76%
1071 CONFIRMED (CP) 86.76%
1072 FALSE POSITIVE 98.85%
1073 CANDIDATE (PC) 96.27%
1074 CANDIDATE (PC) 49.49%
1075 CONFIRMED (CP) 96.90%
1076 CONFIRMED (CP) 52.18%
1077 CANDIDATE (PC) 98.33%
1078 CANDIDATE (PC) 84.56%
1079 CONFIRMED (CP) 82.36%
1080 FALSE POSITIVE 78.30%
1081 CONFIRMED (CP) 79.61%
1082 CANDIDATE (PC) 49.89%
1083 CANDIDATE (PC) 85.03%
1084 FALSE POSITIVE 43.81%
1085 CANDIDATE (PC) 61.48%
1086 CANDIDATE (PC) 55.64%
1087 CANDIDATE (PC) 88.82%
1088 CONFIRMED (CP) 63.76%
1089 CANDIDATE (PC) 81.86%
1090 FALSE POSITIVE 99.68%
1091 FALSE POSITIVE 99.25%
1092 CANDIDATE (PC) 84.28%
1093 CANDIDATE (PC) 70.44%
1094 CANDIDATE (PC) 60.14%
1095 CONFIRMED (CP) 90.63%
1096 CANDIDATE (PC) 73.11%
1097 CANDIDATE (PC) 48.54%
1098 FALSE POSITIVE 99.46%
1099 CANDIDATE (PC) 49.91%
1100 CONFIRMED (CP) 60.85%
1101 CONFIRMED (CP) 64.90%
1102 FALSE POSITIVE 52.43%
1103 CONFIRMED (CP) 50.24%
1104 CANDIDATE (PC) 47.83%
1105 CANDIDATE (PC) 56.02%
1106 FALSE POSITIVE 98.81%
1107 CONFIRMED (CP) 85.25%
1108 CONFIRMED (CP) 89.77%
1109 CANDIDATE (PC) 68.08%
1110 CONFIRMED (CP) 94.05%
1111 CANDIDATE (PC) 99.33%
1112 CANDIDATE (PC) 52.87%
1113 FALSE POSITIVE 68.69%
1114 CANDIDATE (PC) 48.64%
1115 CANDIDATE (PC) 84.41%
1116 CONFIRMED (CP) 68.33%
1117 CONFIRMED (CP) 61.02%
1118 CANDIDATE (PC) 80.80%
1119 CANDIDATE (PC) 72.70%
1120 FALSE POSITIVE 99.55%
1121 CANDIDATE (PC) 85.05%
1122 CONFIRMED (CP) 95.94%
1123 CANDIDATE (PC) 68.28%
1124 CONFIRMED (CP) 60.42%
1125 CONFIRMED (CP) 49.12%
1126 CANDIDATE (PC) 79.16%
1127 CONFIRMED (CP) 54.55%
1128 CANDIDATE (PC) 78.20%
1129 CANDIDATE (PC) 72.60%
1130 CANDIDATE (PC) 69.18%
1131 CANDIDATE (PC) 81.24%
1132 FALSE POSITIVE 59.43%
1133 FALSE POSITIVE 75.18%
1134 CONFIRMED (CP) 57.40%
1135 FALSE POSITIVE 58.94%
1136 CANDIDATE (PC) 81.81%
1137 CANDIDATE (PC) 99.17%
1138 CONFIRMED (CP) 56.95%
1139 CANDIDATE (PC) 60.37%
1140 FALSE POSITIVE 99.36%
1141 CONFIRMED (CP) 68.57%
1142 FALSE POSITIVE 41.07%
1143 CANDIDATE (PC) 66.66%
1144 FALSE POSITIVE 95.32%
1145 CANDIDATE (PC) 50.54%
1146 CANDIDATE (PC) 74.44%
1147 CANDIDATE (PC) 75.62%
1148 CANDIDATE (PC) 50.02%
1149 CANDIDATE (PC) 74.66%
1150 FALSE POSITIVE 55.49%
1151 CONFIRMED (CP) 96.98%
1152 CANDIDATE (PC) 78.29%
1153 CONFIRMED (CP) 75.85%
1154 FALSE POSITIVE 49.71%
1155 CANDIDATE (PC) 80.65%
1156 CANDIDATE (PC) 97.67%
1157 CONFIRMED (CP) 66.07%
1158 FALSE POSITIVE 95.15%
1159 CONFIRMED (CP) 52.46%
1160 FALSE POSITIVE 98.14%
1161 FALSE POSITIVE 99.90%
1162 CONFIRMED (CP) 82.95%
1163 CONFIRMED (CP) 97.79%
1164 FALSE POSITIVE 56.72%
1165 FALSE POSITIVE 56.36%
1166 CONFIRMED (CP) 94.97%
1167 CANDIDATE (PC) 67.51%
1168 FALSE POSITIVE 99.51%
1169 CANDIDATE (PC) 78.92%
1170 CONFIRMED (CP) 61.98%
1171 CONFIRMED (CP) 89.24%
1172 CONFIRMED (CP) 73.51%
1173 CONFIRMED (CP) 84.00%
1174 CANDIDATE (PC) 58.08%
1175 FALSE POSITIVE 62.54%
1176 FALSE POSITIVE 68.95%
1177 CONFIRMED (CP) 68.45%
1178 CANDIDATE (PC) 53.81%
1179 CONFIRMED (CP) 81.39%
1180 CONFIRMED (CP) 93.72%
1181 CONFIRMED (CP) 64.48%
1182 CONFIRMED (CP) 55.00%
1183 FALSE POSITIVE 43.23%
1184 CONFIRMED (CP) 70.23%
1185 CONFIRMED (CP) 50.11%
1186 FALSE POSITIVE 86.30%
1187 FALSE POSITIVE 52.99%
1188 CANDIDATE (PC) 80.49%
1189 FALSE POSITIVE 83.93%
1190 CONFIRMED (CP) 86.74%
1191 CANDIDATE (PC) 81.79%
1192 FALSE POSITIVE 53.25%
1193 CONFIRMED (CP) 78.47%
1194 FALSE POSITIVE 96.72%
1195 CANDIDATE (PC) 45.38%
1196 FALSE POSITIVE 97.80%
1197 FALSE POSITIVE 49.94%
1198 CONFIRMED (CP) 63.28%
1199 CANDIDATE (PC) 50.13%
1200 FALSE POSITIVE 98.36%
1201 CANDIDATE (PC) 80.77%
1202 CONFIRMED (CP) 45.17%
1203 FALSE POSITIVE 58.75%
1204 CONFIRMED (CP) 62.95%
1205 CONFIRMED (CP) 79.91%
1206 FALSE POSITIVE 84.06%
1207 CONFIRMED (CP) 90.52%
1208 CONFIRMED (CP) 47.77%
1209 FALSE POSITIVE 86.22%
1210 CONFIRMED (CP) 51.71%
1211 FALSE POSITIVE 75.73%
1212 CANDIDATE (PC) 99.40%
1213 CANDIDATE (PC) 83.28%
1214 FALSE POSITIVE 95.12%
1215 FALSE POSITIVE 66.21%
1216 CONFIRMED (CP) 55.30%
1217 CONFIRMED (CP) 93.46%
1218 FALSE POSITIVE 99.59%
1219 CONFIRMED (CP) 57.66%
1220 CANDIDATE (PC) 48.42%
1221 CONFIRMED (CP) 93.93%
1222 CONFIRMED (CP) 58.93%
1223 CANDIDATE (PC) 67.00%
1224 CANDIDATE (PC) 78.69%
1225 CANDIDATE (PC) 77.09%
1226 CONFIRMED (CP) 65.04%
1227 FALSE POSITIVE 89.39%
1228 CONFIRMED (CP) 64.07%
1229 FALSE POSITIVE 75.94%
1230 FALSE POSITIVE 98.59%
1231 CANDIDATE (PC) 75.98%
1232 FALSE POSITIVE 99.56%
1233 CONFIRMED (CP) 42.02%
1234 FALSE POSITIVE 86.76%
1235 FALSE POSITIVE 41.29%
1236 CONFIRMED (CP) 62.93%
1237 CANDIDATE (PC) 81.48%
1238 FALSE POSITIVE 75.48%
1239 CONFIRMED (CP) 75.57%
1240 CANDIDATE (PC) 82.81%
1241 CANDIDATE (PC) 58.63%
1242 FALSE POSITIVE 99.92%
1243 CONFIRMED (CP) 69.75%
1244 CANDIDATE (PC) 50.95%
1245 FALSE POSITIVE 98.42%
1246 CANDIDATE (PC) 53.56%
1247 CONFIRMED (CP) 64.67%
1248 CONFIRMED (CP) 80.36%
1249 CONFIRMED (CP) 59.77%
1250 CONFIRMED (CP) 53.05%
1251 CANDIDATE (PC) 79.33%
1252 CANDIDATE (PC) 45.73%
1253 CANDIDATE (PC) 41.84%
1254 CANDIDATE (PC) 72.19%
1255 CONFIRMED (CP) 94.90%
1256 CANDIDATE (PC) 66.52%
1257 CONFIRMED (CP) 50.70%
1258 CONFIRMED (CP) 78.44%
1259 FALSE POSITIVE 80.62%
1260 CONFIRMED (CP) 95.29%
1261 CANDIDATE (PC) 46.19%
1262 FALSE POSITIVE 76.53%
1263 CONFIRMED (CP) 47.27%
1264 CANDIDATE (PC) 81.60%
1265 FALSE POSITIVE 56.86%
1266 FALSE POSITIVE 99.23%
1267 FALSE POSITIVE 68.66%
1268 CONFIRMED (CP) 48.88%
1269 FALSE POSITIVE 58.64%
1270 CANDIDATE (PC) 47.65%
1271 CANDIDATE (PC) 43.70%
1272 CANDIDATE (PC) 56.59%
1273 CANDIDATE (PC) 84.90%
1274 CANDIDATE (PC) 66.72%
1275 CONFIRMED (CP) 74.05%
1276 CANDIDATE (PC) 54.52%
1277 CONFIRMED (CP) 89.46%
1278 CONFIRMED (CP) 85.48%
1279 FALSE POSITIVE 62.15%
1280 CANDIDATE (PC) 79.57%
1281 CANDIDATE (PC) 56.68%
1282 FALSE POSITIVE 98.63%
1283 CANDIDATE (PC) 93.57%
1284 FALSE POSITIVE 77.89%
1285 CANDIDATE (PC) 97.79%
1286 FALSE POSITIVE 99.61%
1287 FALSE POSITIVE 56.96%
1288 CONFIRMED (CP) 49.18%
1289 CANDIDATE (PC) 92.40%
1290 CANDIDATE (PC) 48.95%
1291 FALSE POSITIVE 98.36%
1292 FALSE POSITIVE 47.26%
1293 FALSE POSITIVE 49.89%
1294 CONFIRMED (CP) 91.98%
1295 FALSE POSITIVE 90.49%
1296 CONFIRMED (CP) 86.89%
1297 CONFIRMED (CP) 72.75%
1298 FALSE POSITIVE 82.22%
1299 FALSE POSITIVE 99.26%
1300 CONFIRMED (CP) 55.06%
1301 FALSE POSITIVE 55.37%
1302 CANDIDATE (PC) 97.91%
1303 CANDIDATE (PC) 99.32%
1304 CONFIRMED (CP) 79.41%
1305 CONFIRMED (CP) 42.36%
1306 CONFIRMED (CP) 52.28%
1307 FALSE POSITIVE 68.20%
1308 CONFIRMED (CP) 63.74%
1309 FALSE POSITIVE 71.82%
1310 CANDIDATE (PC) 51.66%
1311 CONFIRMED (CP) 87.77%
1312 CANDIDATE (PC) 45.78%
1313 CANDIDATE (PC) 82.37%
1314 FALSE POSITIVE 93.61%
1315 FALSE POSITIVE 86.72%
1316 FALSE POSITIVE 99.77%
1317 CANDIDATE (PC) 61.96%
1318 CONFIRMED (CP) 60.43%
1319 FALSE POSITIVE 65.35%
1320 FALSE POSITIVE 53.19%
1321 CONFIRMED (CP) 74.88%
1322 CONFIRMED (CP) 58.96%
1323 CONFIRMED (CP) 90.56%
1324 CANDIDATE (PC) 57.05%
1325 CANDIDATE (PC) 97.27%
1326 CANDIDATE (PC) 57.30%
1327 CANDIDATE (PC) 84.68%
1328 CANDIDATE (PC) 59.13%
1329 CANDIDATE (PC) 49.76%
1330 FALSE POSITIVE 99.73%
1331 CANDIDATE (PC) 99.71%
1332 FALSE POSITIVE 73.13%
1333 CANDIDATE (PC) 71.04%
1334 CANDIDATE (PC) 45.69%
1335 CONFIRMED (CP) 66.35%
1336 FALSE POSITIVE 92.27%
1337 CANDIDATE (PC) 56.59%
1338 CANDIDATE (PC) 80.89%
1339 FALSE POSITIVE 49.89%
1340 CANDIDATE (PC) 81.68%
1341 CANDIDATE (PC) 99.72%
1342 CONFIRMED (CP) 62.48%
1343 CONFIRMED (CP) 94.92%
1344 CANDIDATE (PC) 99.32%
1345 CONFIRMED (CP) 64.03%
1346 CONFIRMED (CP) 68.70%
1347 CANDIDATE (PC) 70.93%
1348 CANDIDATE (PC) 70.66%
1349 CONFIRMED (CP) 62.49%
1350 CANDIDATE (PC) 83.26%
1351 CANDIDATE (PC) 83.47%
1352 CANDIDATE (PC) 59.69%
1353 FALSE POSITIVE 95.01%
1354 CANDIDATE (PC) 79.61%
1355 CONFIRMED (CP) 74.69%
1356 FALSE POSITIVE 51.99%
1357 CONFIRMED (CP) 86.17%
1358 CANDIDATE (PC) 59.90%
1359 FALSE POSITIVE 98.24%
1360 CONFIRMED (CP) 93.37%
1361 FALSE POSITIVE 56.75%
1362 CANDIDATE (PC) 82.14%
1363 CONFIRMED (CP) 59.42%
1364 CONFIRMED (CP) 88.90%
1365 FALSE POSITIVE 95.61%
1366 CANDIDATE (PC) 74.12%
1367 CANDIDATE (PC) 49.70%
1368 CONFIRMED (CP) 82.21%
1369 CONFIRMED (CP) 57.25%
1370 CANDIDATE (PC) 56.03%
1371 CANDIDATE (PC) 99.25%
1372 CANDIDATE (PC) 48.07%
1373 CANDIDATE (PC) 49.22%
1374 CONFIRMED (CP) 79.77%
1375 CONFIRMED (CP) 96.45%
1376 CANDIDATE (PC) 50.01%
1377 CONFIRMED (CP) 70.36%
1378 CANDIDATE (PC) 99.33%
1379 FALSE POSITIVE 82.15%
1380 CANDIDATE (PC) 82.10%
1381 CONFIRMED (CP) 57.43%
1382 CONFIRMED (CP) 82.03%
1383 CONFIRMED (CP) 46.47%
1384 FALSE POSITIVE 98.60%
1385 FALSE POSITIVE 49.40%
1386 FALSE POSITIVE 56.77%
1387 CANDIDATE (PC) 93.20%
1388 FALSE POSITIVE 56.49%
1389 CONFIRMED (CP) 65.22%
1390 CONFIRMED (CP) 61.93%
1391 FALSE POSITIVE 66.10%
1392 CONFIRMED (CP) 95.71%
1393 FALSE POSITIVE 69.40%
1394 CONFIRMED (CP) 95.30%
1395 CANDIDATE (PC) 77.74%
1396 CANDIDATE (PC) 70.11%
1397 CANDIDATE (PC) 80.42%
1398 FALSE POSITIVE 86.24%
1399 CANDIDATE (PC) 40.81%
1400 CANDIDATE (PC) 79.88%
1401 FALSE POSITIVE 95.63%
1402 CANDIDATE (PC) 66.29%
1403 CANDIDATE (PC) 45.80%
1404 CANDIDATE (PC) 84.72%
1405 FALSE POSITIVE 58.62%
1406 FALSE POSITIVE 99.23%
1407 CONFIRMED (CP) 93.08%
1408 FALSE POSITIVE 50.95%
1409 CONFIRMED (CP) 40.22%
1410 CANDIDATE (PC) 84.52%
1411 CANDIDATE (PC) 73.30%
1412 FALSE POSITIVE 74.90%
1413 CONFIRMED (CP) 60.46%
1414 FALSE POSITIVE 61.83%
1415 CONFIRMED (CP) 95.83%
1416 CANDIDATE (PC) 47.21%
1417 CONFIRMED (CP) 45.18%
1418 CONFIRMED (CP) 97.16%
1419 CANDIDATE (PC) 44.56%
1420 CONFIRMED (CP) 93.34%
1421 CANDIDATE (PC) 47.65%
1422 FALSE POSITIVE 40.51%
1423 FALSE POSITIVE 99.56%
1424 CONFIRMED (CP) 59.81%
1425 CONFIRMED (CP) 76.82%
1426 CANDIDATE (PC) 82.53%
1427 CANDIDATE (PC) 60.13%
1428 CANDIDATE (PC) 46.20%
1429 CANDIDATE (PC) 52.44%
1430 CONFIRMED (CP) 48.39%
1431 CANDIDATE (PC) 80.61%
1432 CONFIRMED (CP) 43.19%
1433 FALSE POSITIVE 70.17%
1434 CANDIDATE (PC) 82.53%
1435 FALSE POSITIVE 85.93%
1436 CANDIDATE (PC) 83.53%
1437 FALSE POSITIVE 94.67%
1438 CONFIRMED (CP) 73.49%
1439 FALSE POSITIVE 83.51%
1440 CANDIDATE (PC) 99.33%
1441 FALSE POSITIVE 89.11%
1442 CONFIRMED (CP) 43.06%
1443 CANDIDATE (PC) 82.22%
1444 CANDIDATE (PC) 47.24%
1445 FALSE POSITIVE 47.23%
1446 CANDIDATE (PC) 45.32%
1447 CONFIRMED (CP) 91.57%
1448 CONFIRMED (CP) 66.27%
1449 FALSE POSITIVE 53.57%
1450 CANDIDATE (PC) 71.93%
