RESULTADOS DEL MODELO: XGBoost (TestData: complex_data)
======================================================================
Accuracy General: 0.8121

Matriz de Confusión:
730 FALSE POSITIVE 67.48%
731 CANDIDATE (PC) 95.87%
732 FALSE POSITIVE 62.05%
733 CONFIRMED (CP) 73.44%
734 FALSE POSITIVE 97.13%
735 CANDIDATE (PC) 70.71%
736 FALSE POSITIVE 64.33%
737 CANDIDATE (PC) 66.06%
738 CONFIRMED (CP) 94.20%
739 CANDIDATE (PC) 92.54%
740 CONFIRMED (CP) 54.13%
741 FALSE POSITIVE 54.81%
742 CANDIDATE (PC) 70.60%
743 FALSE POSITIVE 98.05%
744 CANDIDATE (PC) 99.55%
745 CONFIRMED (CP) 78.87%
746 CANDIDATE (PC) 88.77%
747 CONFIRMED (CP) 99.03%
748 CONFIRMED (CP) 70.33%
749 CANDIDATE (PC) 94.45%
750 CANDIDATE (PC) 49.53%
751 FALSE POSITIVE 99.94%
752 CONFIRMED (CP) 48.92%
753 CONFIRMED (CP) 71.32%
754 CONFIRMED (CP) 57.81%
755 CONFIRMED (CP) 96.73%
756 CONFIRMED (CP) 97.85%
757 FALSE POSITIVE 76.31%
758 CANDIDATE (PC) 55.36%
759 CANDIDATE (PC) 87.79%
760 CONFIRMED (CP) 84.75%
761 CONFIRMED (CP) 44.75%
762 CONFIRMED (CP) 96.43%
763 CONFIRMED (CP) 86.30%
764 CONFIRMED (CP) 97.79%
765 CONFIRMED (CP) 96.36%
766 FALSE POSITIVE 97.51%
767 FALSE POSITIVE 72.95%
768 FALSE POSITIVE 65.97%
769 FALSE POSITIVE 74.67%
770 FALSE POSITIVE 45.15%
771 FALSE POSITIVE 80.81%
772 CANDIDATE (PC) 94.14%
773 CANDIDATE (PC) 88.33%
774 CONFIRMED (CP) 99.73%
775 CONFIRMED (CP) 83.46%
776 CANDIDATE (PC) 89.26%
777 CANDIDATE (PC) 88.46%
778 FALSE POSITIVE 73.42%
779 CONFIRMED (CP) 98.05%
780 FALSE POSITIVE 53.75%
781 CANDIDATE (PC) 62.80%
782 CONFIRMED (CP) 98.46%
783 CANDIDATE (PC) 85.77%
784 CANDIDATE (PC) 54.65%
785 CANDIDATE (PC) 86.55%
786 CANDIDATE (PC) 99.51%
787 CONFIRMED (CP) 49.69%
788 FALSE POSITIVE 96.41%
789 FALSE POSITIVE 52.55%
790 CANDIDATE (PC) 72.09%
791 CONFIRMED (CP) 67.09%
792 FALSE POSITIVE 99.69%
793 FALSE POSITIVE 72.40%
794 FALSE POSITIVE 58.47%
795 CANDIDATE (PC) 96.00%
796 CANDIDATE (PC) 99.87%
797 CONFIRMED (CP) 99.05%
798 CONFIRMED (CP) 62.94%
799 CONFIRMED (CP) 83.56%
800 FALSE POSITIVE 90.52%
801 FALSE POSITIVE 61.20%
802 FALSE POSITIVE 90.83%
803 CONFIRMED (CP) 95.96%
804 CANDIDATE (PC) 58.21%
805 CANDIDATE (PC) 77.35%
806 FALSE POSITIVE 70.23%
807 CONFIRMED (CP) 51.28%
808 CANDIDATE (PC) 63.44%
809 FALSE POSITIVE 88.72%
810 CANDIDATE (PC) 62.98%
811 CANDIDATE (PC) 99.55%
812 CANDIDATE (PC) 82.18%
813 CANDIDATE (PC) 96.60%
814 CANDIDATE (PC) 60.60%
815 CANDIDATE (PC) 85.47%
816 FALSE POSITIVE 59.30%
817 CANDIDATE (PC) 75.11%
818 CONFIRMED (CP) 68.04%
819 CANDIDATE (PC) 72.12%
820 CONFIRMED (CP) 56.15%
821 CANDIDATE (PC) 93.03%
822 CANDIDATE (PC) 91.52%
823 CONFIRMED (CP) 46.20%
824 CANDIDATE (PC) 52.17%
825 FALSE POSITIVE 99.48%
826 FALSE POSITIVE 73.50%
827 FALSE POSITIVE 60.74%
828 CANDIDATE (PC) 93.98%
829 CANDIDATE (PC) 77.69%
830 CANDIDATE (PC) 69.30%
831 CONFIRMED (CP) 98.73%
832 CONFIRMED (CP) 83.49%
833 CANDIDATE (PC) 87.57%
834 CANDIDATE (PC) 48.77%
835 CONFIRMED (CP) 82.58%
836 CANDIDATE (PC) 83.89%
837 CONFIRMED (CP) 81.78%
838 CANDIDATE (PC) 98.81%
839 CONFIRMED (CP) 98.26%
840 FALSE POSITIVE 99.65%
841 CONFIRMED (CP) 59.97%
842 CANDIDATE (PC) 74.33%
843 FALSE POSITIVE 99.90%
844 CANDIDATE (PC) 62.41%
845 FALSE POSITIVE 52.34%
846 FALSE POSITIVE 99.75%
847 FALSE POSITIVE 99.83%
848 FALSE POSITIVE 69.93%
849 CANDIDATE (PC) 88.41%
850 FALSE POSITIVE 44.91%
851 FALSE POSITIVE 96.27%
852 CANDIDATE (PC) 97.59%
853 CONFIRMED (CP) 99.02%
854 CONFIRMED (CP) 44.79%
855 FALSE POSITIVE 72.03%
856 FALSE POSITIVE 93.21%
857 CANDIDATE (PC) 92.21%
858 CONFIRMED (CP) 64.81%
859 CANDIDATE (PC) 76.39%
860 FALSE POSITIVE 46.69%
861 CANDIDATE (PC) 85.90%
862 FALSE POSITIVE 99.94%
863 FALSE POSITIVE 99.13%
864 CANDIDATE (PC) 92.89%
865 FALSE POSITIVE 65.05%
866 CONFIRMED (CP) 95.11%
867 FALSE POSITIVE 97.75%
868 FALSE POSITIVE 85.64%
869 CANDIDATE (PC) 89.72%
870 CANDIDATE (PC) 88.71%
871 FALSE POSITIVE 97.25%
872 FALSE POSITIVE 96.96%
873 FALSE POSITIVE 57.11%
874 FALSE POSITIVE 96.75%
875 FALSE POSITIVE 99.16%
876 CANDIDATE (PC) 76.22%
877 FALSE POSITIVE 58.12%
878 FALSE POSITIVE 82.32%
879 CANDIDATE (PC) 91.73%
880 CONFIRMED (CP) 99.00%
881 FALSE POSITIVE 99.90%
882 CANDIDATE (PC) 79.37%
883 CANDIDATE (PC) 92.83%
884 CANDIDATE (PC) 56.24%
885 FALSE POSITIVE 64.47%
886 FALSE POSITIVE 44.29%
887 CANDIDATE (PC) 94.99%
888 CONFIRMED (CP) 74.89%
889 CANDIDATE (PC) 90.18%
890 FALSE POSITIVE 66.25%
891 FALSE POSITIVE 99.73%
892 FALSE POSITIVE 76.51%
893 FALSE POSITIVE 97.29%
894 CONFIRMED (CP) 88.30%
895 CANDIDATE (PC) 80.36%
896 CANDIDATE (PC) 77.57%
897 CANDIDATE (PC) 88.95%
898 FALSE POSITIVE 99.25%
899 CANDIDATE (PC) 93.59%
900 CANDIDATE (PC) 52.91%
901 FALSE POSITIVE 50.65%
902 CONFIRMED (CP) 95.86%
903 CANDIDATE (PC) 95.33%
904 CANDIDATE (PC) 71.38%
905 FALSE POSITIVE 52.17%
906 FALSE POSITIVE 99.68%
907 CONFIRMED (CP) 48.17%
908 CONFIRMED (CP) 87.76%
909 CANDIDATE (PC) 83.87%
910 CANDIDATE (PC) 84.82%
911 CANDIDATE (PC) 90.81%
912 CANDIDATE (PC) 61.62%
913 CONFIRMED (CP) 98.11%
914 CANDIDATE (PC) 66.49%
915 CANDIDATE (PC) 87.10%
916 CONFIRMED (CP) 99.21%
917 CANDIDATE (PC) 60.88%
918 CANDIDATE (PC) 94.94%
919 CANDIDATE (PC) 86.23%
920 FALSE POSITIVE 57.09%
921 FALSE POSITIVE 99.88%
922 CONFIRMED (CP) 98.24%
923 CONFIRMED (CP) 77.65%
924 FALSE POSITIVE 88.91%
925 CANDIDATE (PC) 89.82%
926 FALSE POSITIVE 42.43%
927 CONFIRMED (CP) 97.00%
928 CANDIDATE (PC) 93.27%
929 CANDIDATE (PC) 77.95%
930 CONFIRMED (CP) 65.78%
931 CANDIDATE (PC) 99.15%
932 FALSE POSITIVE 72.83%
933 FALSE POSITIVE 70.68%
934 CANDIDATE (PC) 82.93%
935 CANDIDATE (PC) 62.40%
936 FALSE POSITIVE 88.72%
937 FALSE POSITIVE 86.10%
938 CONFIRMED (CP) 99.07%
939 FALSE POSITIVE 63.91%
940 CANDIDATE (PC) 90.98%
941 FALSE POSITIVE 87.97%
942 CONFIRMED (CP) 99.71%
943 CANDIDATE (PC) 84.51%
944 CONFIRMED (CP) 95.72%
945 CANDIDATE (PC) 63.56%
946 CANDIDATE (PC) 77.63%
947 FALSE POSITIVE 88.02%
948 FALSE POSITIVE 74.06%
949 FALSE POSITIVE 50.35%
950 CONFIRMED (CP) 98.13%
951 CANDIDATE (PC) 45.18%
952 FALSE POSITIVE 63.74%
953 FALSE POSITIVE 98.42%
954 CANDIDATE (PC) 98.40%
955 CANDIDATE (PC) 95.43%
956 CANDIDATE (PC) 97.97%
957 CONFIRMED (CP) 55.18%
958 CANDIDATE (PC) 77.13%
959 FALSE POSITIVE 78.13%
960 CANDIDATE (PC) 86.96%
961 CANDIDATE (PC) 95.76%
962 CANDIDATE (PC) 52.40%
963 CANDIDATE (PC) 78.72%
964 CANDIDATE (PC) 68.37%
965 FALSE POSITIVE 99.76%
966 CANDIDATE (PC) 83.63%
967 FALSE POSITIVE 81.62%
968 CONFIRMED (CP) 95.50%
969 CANDIDATE (PC) 93.58%
970 CONFIRMED (CP) 87.20%
971 FALSE POSITIVE 98.58%
972 CONFIRMED (CP) 95.02%
973 CANDIDATE (PC) 87.47%
974 FALSE POSITIVE 40.77%
975 CANDIDATE (PC) 65.48%
976 CONFIRMED (CP) 98.09%
977 CONFIRMED (CP) 94.40%
978 CANDIDATE (PC) 92.90%
979 CANDIDATE (PC) 97.49%
980 CONFIRMED (CP) 41.12%
981 CANDIDATE (PC) 89.02%
982 CONFIRMED (CP) 89.82%
983 CONFIRMED (CP) 88.12%
984 CANDIDATE (PC) 92.93%
985 CANDIDATE (PC) 83.83%
986 FALSE POSITIVE 97.36%
987 FALSE POSITIVE 46.19%
988 CONFIRMED (CP) 43.13%
989 FALSE POSITIVE 77.28%
990 CANDIDATE (PC) 79.86%
991 CONFIRMED (CP) 97.24%
992 CANDIDATE (PC) 79.90%
993 CONFIRMED (CP) 67.09%
994 CANDIDATE (PC) 92.74%
995 FALSE POSITIVE 94.53%
996 CANDIDATE (PC) 43.17%
997 CANDIDATE (PC) 99.28%
998 FALSE POSITIVE 99.70%
999 CONFIRMED (CP) 99.49%
1000 CANDIDATE (PC) 69.53%
1001 CONFIRMED (CP) 44.61%
1002 CONFIRMED (CP) 96.93%
1003 CANDIDATE (PC) 91.97%
1004 CANDIDATE (PC) 68.02%
1005 FALSE POSITIVE 74.96%
1006 FALSE POSITIVE 88.29%
1007 FALSE POSITIVE 50.59%
1008 CANDIDATE (PC) 77.60%
1009 CONFIRMED (CP) 62.28%
1010 CANDIDATE (PC) 49.28%
1011 CANDIDATE (PC) 99.25%
1012 CONFIRMED (CP) 97.95%
1013 CONFIRMED (CP) 71.27%
1014 CANDIDATE (PC) 94.78%
1015 CONFIRMED (CP) 75.80%
1016 CANDIDATE (PC) 53.06%
1017 FALSE POSITIVE 99.82%
1018 FALSE POSITIVE 61.42%
1019 CONFIRMED (CP) 96.82%
1020 CANDIDATE (PC) 91.36%
1021 FALSE POSITIVE 98.06%
1022 CONFIRMED (CP) 96.05%
1023 CANDIDATE (PC) 90.07%
1024 CANDIDATE (PC) 81.91%
1025 FALSE POSITIVE 98.66%
1026 CONFIRMED (CP) 95.53%
1027 FALSE POSITIVE 98.23%
1028 CANDIDATE (PC) 87.68%
1029 CANDIDATE (PC) 92.37%
1030 CANDIDATE (PC) 89.03%
1031 CANDIDATE (PC) 82.44%
1032 CANDIDATE (PC) 40.14%
1033 CONFIRMED (CP) 95.79%
1034 FALSE POSITIVE 99.23%
1035 CANDIDATE (PC) 79.09%
1036 CONFIRMED (CP) 50.00%
1037 CONFIRMED (CP) 98.63%
1038 FALSE POSITIVE 99.58%
1039 CONFIRMED (CP) 43.89%
1040 CANDIDATE (PC) 95.25%
1041 CANDIDATE (PC) 82.47%
1042 FALSE POSITIVE 69.60%
1043 FALSE POSITIVE 97.67%
1044 FALSE POSITIVE 99.30%
1045 CONFIRMED (CP) 91.87%
1046 CANDIDATE (PC) 81.61%
1047 FALSE POSITIVE 99.72%
1048 CANDIDATE (PC) 97.31%
1049 FALSE POSITIVE 99.83%
1050 CANDIDATE (PC) 94.00%
1051 CONFIRMED (CP) 72.12%
1052 FALSE POSITIVE 53.87%
1053 CANDIDATE (PC) 90.10%
1054 CONFIRMED (CP) 60.09%
1055 CONFIRMED (CP) 90.41%
1056 FALSE POSITIVE 87.56%
1057 CONFIRMED (CP) 86.29%
1058 FALSE POSITIVE 92.09%
1059 CONFIRMED (CP) 93.36%
1060 CANDIDATE (PC) 88.37%
1061 CANDIDATE (PC) 95.51%
1062 CANDIDATE (PC) 90.32%
1063 CANDIDATE (PC) 76.58%
1064 CANDIDATE (PC) 89.93%
1065 CANDIDATE (PC) 94.91%
1066 FALSE POSITIVE 91.57%
1067 CANDIDATE (PC) 88.35%
1068 FALSE POSITIVE 91.70%
1069 CANDIDATE (PC) 47.83%
1070 CANDIDATE (PC) 99.75%
1071 FALSE POSITIVE 97.54%
1072 CANDIDATE (PC) 90.08%
1073 CANDIDATE (PC) 39.58%
1074 FALSE POSITIVE 96.75%
1075 FALSE POSITIVE 99.89%
1076 CANDIDATE (PC) 55.88%
1077 FALSE POSITIVE 80.47%
1078 CANDIDATE (PC) 82.83%
1079 CANDIDATE (PC) 85.27%
1080 CANDIDATE (PC) 59.67%
1081 CONFIRMED (CP) 45.40%
1082 CANDIDATE (PC) 50.08%
1083 CONFIRMED (CP) 98.55%
1084 CANDIDATE (PC) 92.44%
1085 FALSE POSITIVE 68.98%
1086 FALSE POSITIVE 88.54%
1087 FALSE POSITIVE 71.81%
1088 CANDIDATE (PC) 54.28%
1089 CANDIDATE (PC) 91.87%
1090 CANDIDATE (PC) 80.02%
1091 CANDIDATE (PC) 65.76%
1092 CANDIDATE (PC) 64.74%
1093 FALSE POSITIVE 99.91%
1094 CANDIDATE (PC) 93.37%
1095 CANDIDATE (PC) 99.78%
1096 FALSE POSITIVE 93.17%
1097 CANDIDATE (PC) 60.18%
1098 CONFIRMED (CP) 94.62%
1099 CONFIRMED (CP) 88.00%
1100 CANDIDATE (PC) 89.70%
1101 CANDIDATE (PC) 84.60%
1102 FALSE POSITIVE 99.80%
1103 FALSE POSITIVE 59.87%
1104 CANDIDATE (PC) 90.59%
1105 CANDIDATE (PC) 84.02%
1106 FALSE POSITIVE 41.88%
1107 CONFIRMED (CP) 96.66%
1108 CONFIRMED (CP) 97.99%
1109 CANDIDATE (PC) 81.71%
1110 CANDIDATE (PC) 85.17%
1111 CANDIDATE (PC) 85.98%
1112 CANDIDATE (PC) 54.03%
1113 CONFIRMED (CP) 97.18%
1114 CANDIDATE (PC) 80.39%
1115 CONFIRMED (CP) 72.64%
1116 CANDIDATE (PC) 93.03%
1117 FALSE POSITIVE 83.77%
1118 CANDIDATE (PC) 94.25%
1119 CONFIRMED (CP) 70.25%
1120 FALSE POSITIVE 96.25%
1121 CONFIRMED (CP) 66.41%
1122 FALSE POSITIVE 61.83%
1123 FALSE POSITIVE 73.32%
1124 CANDIDATE (PC) 96.23%
1125 CONFIRMED (CP) 99.00%
1126 CONFIRMED (CP) 97.84%
1127 CONFIRMED (CP) 52.58%
1128 CANDIDATE (PC) 94.93%
1129 CANDIDATE (PC) 66.53%
1130 CANDIDATE (PC) 64.76%
1131 CONFIRMED (CP) 96.28%
1132 CONFIRMED (CP) 75.20%
1133 CONFIRMED (CP) 88.32%
1134 FALSE POSITIVE 99.76%
1135 FALSE POSITIVE 65.88%
1136 CONFIRMED (CP) 97.80%
1137 CONFIRMED (CP) 70.28%
1138 FALSE POSITIVE 99.67%
1139 FALSE POSITIVE 98.78%
1140 CANDIDATE (PC) 87.19%
1141 CANDIDATE (PC) 93.47%
1142 FALSE POSITIVE 64.86%
1143 CANDIDATE (PC) 93.44%
1144 CANDIDATE (PC) 95.07%
1145 CONFIRMED (CP) 67.35%
1146 CANDIDATE (PC) 85.58%
1147 CONFIRMED (CP) 86.64%
1148 CONFIRMED (CP) 91.99%
1149 FALSE POSITIVE 56.17%
1150 CANDIDATE (PC) 55.74%
1151 CANDIDATE (PC) 85.18%
1152 CONFIRMED (CP) 64.64%
1153 CONFIRMED (CP) 88.78%
1154 CONFIRMED (CP) 85.18%
1155 CANDIDATE (PC) 94.34%
1156 CONFIRMED (CP) 96.87%
1157 FALSE POSITIVE 97.61%
1158 CANDIDATE (PC) 61.98%
1159 CANDIDATE (PC) 81.30%
1160 FALSE POSITIVE 78.12%
1161 CANDIDATE (PC) 81.00%
1162 CANDIDATE (PC) 72.68%
1163 CONFIRMED (CP) 87.50%
1164 CONFIRMED (CP) 74.08%
1165 FALSE POSITIVE 97.52%
1166 CONFIRMED (CP) 93.11%
1167 CANDIDATE (PC) 69.99%
1168 CANDIDATE (PC) 42.60%
1169 CONFIRMED (CP) 97.76%
1170 FALSE POSITIVE 53.79%
1171 CONFIRMED (CP) 98.04%
1172 CANDIDATE (PC) 97.14%
1173 CANDIDATE (PC) 82.33%
1174 CANDIDATE (PC) 46.29%
1175 CANDIDATE (PC) 66.83%
1176 CANDIDATE (PC) 51.08%
1177 FALSE POSITIVE 98.42%
1178 CANDIDATE (PC) 36.86%
1179 CONFIRMED (CP) 80.22%
1180 CANDIDATE (PC) 84.81%
1181 CANDIDATE (PC) 58.04%
1182 FALSE POSITIVE 66.08%
1183 FALSE POSITIVE 39.73%
1184 CONFIRMED (CP) 96.84%
1185 FALSE POSITIVE 54.51%
1186 CANDIDATE (PC) 99.31%
1187 FALSE POSITIVE 60.34%
1188 CANDIDATE (PC) 98.84%
1189 CANDIDATE (PC) 51.49%
1190 CANDIDATE (PC) 59.85%
1191 CONFIRMED (CP) 49.12%
1192 CONFIRMED (CP) 97.16%
1193 CANDIDATE (PC) 82.14%
1194 CANDIDATE (PC) 83.86%
1195 CANDIDATE (PC) 51.55%
1196 FALSE POSITIVE 99.54%
1197 CANDIDATE (PC) 78.98%
1198 CANDIDATE (PC) 93.56%
1199 FALSE POSITIVE 99.67%
1200 FALSE POSITIVE 64.58%
1201 CANDIDATE (PC) 71.96%
1202 CANDIDATE (PC) 90.06%
1203 CANDIDATE (PC) 93.93%
1204 CONFIRMED (CP) 97.20%
1205 CANDIDATE (PC) 90.95%
1206 CANDIDATE (PC) 81.91%
1207 CONFIRMED (CP) 48.78%
1208 CANDIDATE (PC) 78.21%
1209 FALSE POSITIVE 96.76%
1210 CONFIRMED (CP) 60.71%
1211 CANDIDATE (PC) 90.80%
1212 CANDIDATE (PC) 98.29%
1213 FALSE POSITIVE 77.67%
1214 CANDIDATE (PC) 80.14%
1215 FALSE POSITIVE 99.52%
1216 CONFIRMED (CP) 82.05%
1217 CANDIDATE (PC) 93.69%
1218 CONFIRMED (CP) 36.91%
1219 CONFIRMED (CP) 76.15%
1220 CONFIRMED (CP) 99.21%
1221 CONFIRMED (CP) 41.30%
1222 CANDIDATE (PC) 63.72%
1223 CANDIDATE (PC) 93.25%
1224 CANDIDATE (PC) 90.10%
1225 CONFIRMED (CP) 98.84%
1226 CANDIDATE (PC) 96.55%
1227 FALSE POSITIVE 74.90%
1228 FALSE POSITIVE 75.95%
1229 CONFIRMED (CP) 97.68%
1230 CANDIDATE (PC) 51.03%
1231 CANDIDATE (PC) 94.81%
1232 CONFIRMED (CP) 59.73%
1233 CANDIDATE (PC) 92.76%
1234 CONFIRMED (CP) 83.26%
1235 FALSE POSITIVE 87.94%
1236 CONFIRMED (CP) 93.50%
1237 CONFIRMED (CP) 82.43%
1238 CANDIDATE (PC) 76.98%
1239 FALSE POSITIVE 54.95%
1240 CANDIDATE (PC) 88.15%
1241 CANDIDATE (PC) 58.74%
1242 CANDIDATE (PC) 90.01%
1243 CANDIDATE (PC) 66.41%
1244 FALSE POSITIVE 66.09%
1245 FALSE POSITIVE 66.40%
1246 FALSE POSITIVE 96.50%
1247 CONFIRMED (CP) 84.32%
1248 FALSE POSITIVE 98.99%
1249 CANDIDATE (PC) 90.57%
1250 CONFIRMED (CP) 78.74%
1251 CANDIDATE (PC) 58.78%
1252 FALSE POSITIVE 93.80%
1253 FALSE POSITIVE 92.32%
1254 CANDIDATE (PC) 94.45%
1255 CONFIRMED (CP) 53.83%
1256 CANDIDATE (PC) 91.73%
1257 CANDIDATE (PC) 91.20%
1258 FALSE POSITIVE 51.43%
1259 CANDIDATE (PC) 89.66%
1260 FALSE POSITIVE 99.81%
1261 CONFIRMED (CP) 97.29%
1262 CANDIDATE (PC) 51.93%
1263 CANDIDATE (PC) 45.43%
1264 FALSE POSITIVE 99.63%
1265 CONFIRMED (CP) 86.36%
1266 FALSE POSITIVE 53.23%
1267 FALSE POSITIVE 58.22%
1268 CANDIDATE (PC) 93.44%
1269 CANDIDATE (PC) 79.03%
1270 CANDIDATE (PC) 97.28%
1271 CONFIRMED (CP) 99.40%
1272 CONFIRMED (CP) 98.70%
1273 CANDIDATE (PC) 92.21%
1274 CONFIRMED (CP) 99.39%
1275 CANDIDATE (PC) 90.28%
1276 CANDIDATE (PC) 94.73%
1277 CONFIRMED (CP) 91.48%
1278 CANDIDATE (PC) 51.26%
1279 CANDIDATE (PC) 92.84%
1280 CANDIDATE (PC) 78.27%
1281 FALSE POSITIVE 63.43%
1282 FALSE POSITIVE 99.81%
1283 CANDIDATE (PC) 93.80%
1284 FALSE POSITIVE 99.07%
1285 FALSE POSITIVE 94.78%
1286 FALSE POSITIVE 99.93%
1287 CANDIDATE (PC) 90.09%
1288 CONFIRMED (CP) 82.29%
1289 FALSE POSITIVE 74.35%
1290 CANDIDATE (PC) 88.70%
1291 CONFIRMED (CP) 99.05%
1292 FALSE POSITIVE 44.71%
1293 CONFIRMED (CP) 97.86%
1294 CANDIDATE (PC) 90.38%
1295 CANDIDATE (PC) 56.07%
1296 FALSE POSITIVE 97.48%
1297 CANDIDATE (PC) 93.73%
1298 CANDIDATE (PC) 92.15%
1299 CANDIDATE (PC) 68.91%
1300 CONFIRMED (CP) 95.74%
1301 CANDIDATE (PC) 84.31%
1302 CONFIRMED (CP) 48.00%
1303 FALSE POSITIVE 99.40%
1304 CANDIDATE (PC) 91.13%
1305 CANDIDATE (PC) 91.27%
1306 FALSE POSITIVE 86.00%
1307 CONFIRMED (CP) 51.11%
1308 CANDIDATE (PC) 93.18%
1309 FALSE POSITIVE 91.67%
1310 CANDIDATE (PC) 93.19%
1311 CONFIRMED (CP) 36.57%
1312 CONFIRMED (CP) 98.80%
1313 CONFIRMED (CP) 97.09%
1314 FALSE POSITIVE 78.63%
1315 CANDIDATE (PC) 94.59%
1316 CANDIDATE (PC) 70.05%
1317 CANDIDATE (PC) 73.29%
1318 CANDIDATE (PC) 97.78%
1319 CONFIRMED (CP) 88.91%
1320 CONFIRMED (CP) 65.33%
1321 FALSE POSITIVE 98.22%
1322 CANDIDATE (PC) 68.62%
1323 CANDIDATE (PC) 90.27%
1324 FALSE POSITIVE 92.57%
1325 CONFIRMED (CP) 85.50%
1326 CANDIDATE (PC) 50.16%
1327 CANDIDATE (PC) 80.67%
1328 CANDIDATE (PC) 97.29%
1329 CONFIRMED (CP) 66.99%
1330 FALSE POSITIVE 39.80%
1331 CANDIDATE (PC) 57.21%
1332 CANDIDATE (PC) 55.50%
1333 FALSE POSITIVE 97.70%
1334 FALSE POSITIVE 60.56%
1335 CONFIRMED (CP) 98.63%
1336 CANDIDATE (PC) 47.60%
1337 FALSE POSITIVE 96.66%
1338 FALSE POSITIVE 99.49%
1339 FALSE POSITIVE 48.89%
1340 CANDIDATE (PC) 44.06%
1341 CANDIDATE (PC) 92.75%
1342 CANDIDATE (PC) 79.85%
1343 CANDIDATE (PC) 84.42%
1344 CONFIRMED (CP) 90.21%
1345 CANDIDATE (PC) 56.06%
1346 CANDIDATE (PC) 55.49%
1347 CONFIRMED (CP) 75.63%
1348 CANDIDATE (PC) 86.73%
1349 CANDIDATE (PC) 43.45%
1350 CONFIRMED (CP) 95.46%
1351 FALSE POSITIVE 98.83%
1352 FALSE POSITIVE 93.68%
1353 CONFIRMED (CP) 99.15%
1354 FALSE POSITIVE 51.07%
1355 CANDIDATE (PC) 98.62%
1356 CONFIRMED (CP) 96.75%
1357 CONFIRMED (CP) 90.01%
1358 CANDIDATE (PC) 53.67%
1359 CANDIDATE (PC) 84.29%
1360 CANDIDATE (PC) 84.94%
1361 FALSE POSITIVE 67.04%
1362 FALSE POSITIVE 48.73%
1363 CANDIDATE (PC) 94.11%
1364 CANDIDATE (PC) 53.42%
1365 CONFIRMED (CP) 63.68%
1366 CANDIDATE (PC) 93.53%
1367 CANDIDATE (PC) 58.14%
1368 FALSE POSITIVE 96.07%
1369 CONFIRMED (CP) 96.97%
1370 CONFIRMED (CP) 98.62%
1371 CONFIRMED (CP) 45.75%
1372 CANDIDATE (PC) 71.93%
1373 FALSE POSITIVE 65.52%
1374 FALSE POSITIVE 99.07%
1375 CANDIDATE (PC) 85.89%
1376 CONFIRMED (CP) 76.01%
1377 CANDIDATE (PC) 87.89%
1378 FALSE POSITIVE 99.13%
1379 CANDIDATE (PC) 86.12%
1380 CANDIDATE (PC) 78.92%
1381 CONFIRMED (CP) 97.18%
1382 CANDIDATE (PC) 55.92%
1383 CANDIDATE (PC) 63.83%
1384 FALSE POSITIVE 98.19%
1385 CANDIDATE (PC) 98.84%
1386 CANDIDATE (PC) 94.68%
1387 CANDIDATE (PC) 92.31%
1388 CANDIDATE (PC) 84.06%
1389 CONFIRMED (CP) 97.91%
1390 FALSE POSITIVE 85.22%
1391 CANDIDATE (PC) 92.53%
1392 CONFIRMED (CP) 96.61%
1393 CANDIDATE (PC) 91.13%
1394 CANDIDATE (PC) 58.97%
1395 CANDIDATE (PC) 69.30%
1396 CONFIRMED (CP) 74.18%
1397 FALSE POSITIVE 99.88%
1398 CANDIDATE (PC) 56.41%
1399 CANDIDATE (PC) 99.72%
1400 CONFIRMED (CP) 36.56%
1401 CANDIDATE (PC) 93.24%
1402 CANDIDATE (PC) 61.18%
1403 CONFIRMED (CP) 76.92%
1404 CANDIDATE (PC) 84.25%
1405 CANDIDATE (PC) 66.77%
1406 CONFIRMED (CP) 97.05%
1407 FALSE POSITIVE 75.96%
1408 FALSE POSITIVE 96.02%
1409 CANDIDATE (PC) 97.21%
1410 CANDIDATE (PC) 90.25%
1411 FALSE POSITIVE 99.88%
1412 FALSE POSITIVE 84.70%
1413 FALSE POSITIVE 71.00%
1414 FALSE POSITIVE 63.91%
1415 CANDIDATE (PC) 87.84%
1416 CANDIDATE (PC) 52.10%
1417 CONFIRMED (CP) 95.92%
1418 FALSE POSITIVE 89.46%
1419 CANDIDATE (PC) 89.03%
1420 CONFIRMED (CP) 96.52%
1421 FALSE POSITIVE 62.36%
1422 CANDIDATE (PC) 82.37%
1423 CANDIDATE (PC) 53.48%
1424 FALSE POSITIVE 89.15%
1425 FALSE POSITIVE 59.00%
1426 CANDIDATE (PC) 79.08%
1427 CONFIRMED (CP) 99.01%
1428 CANDIDATE (PC) 99.11%
1429 CANDIDATE (PC) 89.25%
1430 FALSE POSITIVE 55.27%
1431 CONFIRMED (CP) 69.53%
1432 CANDIDATE (PC) 97.00%
1433 CANDIDATE (PC) 78.67%
1434 CANDIDATE (PC) 89.39%
1435 CANDIDATE (PC) 70.30%
1436 CANDIDATE (PC) 92.51%
1437 FALSE POSITIVE 51.98%
1438 CANDIDATE (PC) 87.31%
1439 FALSE POSITIVE 60.23%
1440 CANDIDATE (PC) 77.96%
1441 FALSE POSITIVE 71.96%
1442 CANDIDATE (PC) 95.05%
1443 FALSE POSITIVE 66.87%
1444 CONFIRMED (CP) 93.61%
1445 CONFIRMED (CP) 98.40%
1446 FALSE POSITIVE 92.66%
1447 CONFIRMED (CP) 98.59%
1448 FALSE POSITIVE 91.64%
1449 CONFIRMED (CP) 93.72%
1450 FALSE POSITIVE 61.98%
