RESULTADOS DEL MODELO: NN Custom (complex_data)
======================================================================
Accuracy General: 0.7415

Matriz de Confusión:
731 CANDIDATE (PC) 51.93%
732 CANDIDATE (PC) 52.72%
733 FALSE POSITIVE 51.83%
734 FALSE POSITIVE 53.66%
735 CONFIRMED (CP) 82.49%
736 CANDIDATE (PC) 65.92%
737 CANDIDATE (PC) 37.21%
738 FALSE POSITIVE 61.56%
739 CANDIDATE (PC) 80.98%
740 FALSE POSITIVE 63.03%
741 CONFIRMED (CP) 75.66%
742 FALSE POSITIVE 99.98%
743 CANDIDATE (PC) 89.03%
744 CANDIDATE (PC) 79.40%
745 CANDIDATE (PC) 89.68%
746 CANDIDATE (PC) 77.15%
747 FALSE POSITIVE 70.16%
748 FALSE POSITIVE 52.74%
749 CONFIRMED (CP) 43.14%
750 CONFIRMED (CP) 96.26%
751 CONFIRMED (CP) 94.62%
752 CANDIDATE (PC) 78.04%
753 CONFIRMED (CP) 79.94%
754 CONFIRMED (CP) 66.54%
755 FALSE POSITIVE 74.11%
756 CANDIDATE (PC) 68.19%
757 CANDIDATE (PC) 79.60%
758 CONFIRMED (CP) 58.36%
759 CANDIDATE (PC) 75.94%
760 CANDIDATE (PC) 84.17%
761 CONFIRMED (CP) 65.18%
762 FALSE POSITIVE 35.47%
763 FALSE POSITIVE 100.00%
764 CANDIDATE (PC) 64.80%
765 CONFIRMED (CP) 54.34%
766 FALSE POSITIVE 97.62%
767 CONFIRMED (CP) 94.11%
768 CONFIRMED (CP) 95.58%
769 CANDIDATE (PC) 65.46%
770 CANDIDATE (PC) 72.73%
771 CANDIDATE (PC) 69.50%
772 FALSE POSITIVE 59.95%
773 CANDIDATE (PC) 55.93%
774 FALSE POSITIVE 85.76%
775 FALSE POSITIVE 66.86%
776 CANDIDATE (PC) 80.53%
777 CANDIDATE (PC) 92.10%
778 FALSE POSITIVE 99.73%
779 FALSE POSITIVE 95.16%
780 CANDIDATE (PC) 83.93%
781 CONFIRMED (CP) 92.15%
782 CONFIRMED (CP) 91.92%
783 CANDIDATE (PC) 56.42%
784 FALSE POSITIVE 55.20%
785 FALSE POSITIVE 98.99%
786 CANDIDATE (PC) 92.77%
787 CANDIDATE (PC) 86.04%
788 CANDIDATE (PC) 89.61%
789 CANDIDATE (PC) 73.66%
790 CONFIRMED (CP) 68.70%
791 CANDIDATE (PC) 51.55%
792 FALSE POSITIVE 97.95%
793 FALSE POSITIVE 48.46%
794 CONFIRMED (CP) 70.56%
795 CANDIDATE (PC) 56.52%
796 FALSE POSITIVE 99.93%
797 CONFIRMED (CP) 71.21%
798 CANDIDATE (PC) 90.83%
799 CANDIDATE (PC) 50.83%
800 FALSE POSITIVE 64.12%
801 CANDIDATE (PC) 63.02%
802 CONFIRMED (CP) 85.41%
803 CANDIDATE (PC) 80.65%
804 FALSE POSITIVE 75.14%
805 CANDIDATE (PC) 78.12%
806 FALSE POSITIVE 50.02%
807 CANDIDATE (PC) 54.68%
808 CONFIRMED (CP) 86.94%
809 CANDIDATE (PC) 56.43%
810 CONFIRMED (CP) 78.86%
811 CONFIRMED (CP) 95.96%
812 CANDIDATE (PC) 88.39%
813 CANDIDATE (PC) 89.46%
814 CANDIDATE (PC) 70.48%
815 CONFIRMED (CP) 99.32%
816 CONFIRMED (CP) 46.54%
817 CANDIDATE (PC) 51.96%
818 CONFIRMED (CP) 91.54%
819 CANDIDATE (PC) 81.20%
820 CANDIDATE (PC) 55.75%
821 FALSE POSITIVE 85.47%
822 CANDIDATE (PC) 84.93%
823 CANDIDATE (PC) 58.03%
824 FALSE POSITIVE 98.72%
825 FALSE POSITIVE 45.37%
826 CANDIDATE (PC) 91.36%
827 CONFIRMED (CP) 99.01%
828 FALSE POSITIVE 63.04%
829 FALSE POSITIVE 53.96%
830 CANDIDATE (PC) 68.13%
831 FALSE POSITIVE 48.94%
832 CANDIDATE (PC) 89.71%
833 CANDIDATE (PC) 80.17%
834 CONFIRMED (CP) 50.91%
835 CONFIRMED (CP) 97.40%
836 CANDIDATE (PC) 84.23%
837 CANDIDATE (PC) 86.88%
838 CANDIDATE (PC) 77.13%
839 FALSE POSITIVE 86.37%
840 CANDIDATE (PC) 87.10%
841 CANDIDATE (PC) 91.68%
842 CANDIDATE (PC) 68.02%
843 CONFIRMED (CP) 68.12%
844 FALSE POSITIVE 99.98%
845 FALSE POSITIVE 51.04%
846 FALSE POSITIVE 99.03%
847 CANDIDATE (PC) 75.14%
848 CANDIDATE (PC) 95.87%
849 CANDIDATE (PC) 85.50%
850 CANDIDATE (PC) 72.94%
851 CONFIRMED (CP) 45.92%
852 CANDIDATE (PC) 86.16%
853 CANDIDATE (PC) 73.69%
854 CONFIRMED (CP) 98.22%
855 CANDIDATE (PC) 50.23%
856 CONFIRMED (CP) 76.88%
857 CANDIDATE (PC) 76.54%
858 FALSE POSITIVE 68.03%
859 CONFIRMED (CP) 73.94%
860 FALSE POSITIVE 88.36%
861 CONFIRMED (CP) 65.83%
862 CANDIDATE (PC) 49.84%
863 CANDIDATE (PC) 73.63%
864 FALSE POSITIVE 99.91%
865 CANDIDATE (PC) 53.47%
866 CONFIRMED (CP) 90.84%
867 FALSE POSITIVE 76.71%
868 FALSE POSITIVE 78.65%
869 CANDIDATE (PC) 78.98%
870 CONFIRMED (CP) 79.61%
871 CANDIDATE (PC) 87.86%
872 CONFIRMED (CP) 91.92%
873 CONFIRMED (CP) 93.07%
874 CANDIDATE (PC) 77.03%
875 FALSE POSITIVE 79.18%
876 CONFIRMED (CP) 64.37%
877 CANDIDATE (PC) 64.48%
878 CANDIDATE (PC) 85.02%
879 FALSE POSITIVE 91.47%
880 FALSE POSITIVE 87.46%
881 CONFIRMED (CP) 46.70%
882 CANDIDATE (PC) 80.16%
883 CONFIRMED (CP) 90.47%
884 CANDIDATE (PC) 71.00%
885 FALSE POSITIVE 92.87%
886 FALSE POSITIVE 100.00%
887 CANDIDATE (PC) 74.32%
888 FALSE POSITIVE 66.55%
889 CANDIDATE (PC) 79.02%
890 CANDIDATE (PC) 78.04%
891 CANDIDATE (PC) 71.78%
892 CANDIDATE (PC) 49.68%
893 CANDIDATE (PC) 80.66%
894 CONFIRMED (CP) 59.15%
895 FALSE POSITIVE 55.83%
896 CANDIDATE (PC) 60.22%
897 CANDIDATE (PC) 87.39%
898 CONFIRMED (CP) 71.72%
899 FALSE POSITIVE 68.08%
900 FALSE POSITIVE 99.99%
901 CANDIDATE (PC) 54.78%
902 CANDIDATE (PC) 88.87%
903 FALSE POSITIVE 42.80%
904 CANDIDATE (PC) 86.08%
905 CANDIDATE (PC) 45.69%
906 CANDIDATE (PC) 87.18%
907 CONFIRMED (CP) 91.22%
908 CANDIDATE (PC) 89.95%
909 CANDIDATE (PC) 38.61%
910 FALSE POSITIVE 99.99%
911 CONFIRMED (CP) 59.34%
912 CANDIDATE (PC) 75.86%
913 CONFIRMED (CP) 81.59%
914 CONFIRMED (CP) 94.56%
915 CONFIRMED (CP) 66.97%
916 CONFIRMED (CP) 53.06%
917 FALSE POSITIVE 93.07%
918 CONFIRMED (CP) 98.46%
919 FALSE POSITIVE 38.17%
920 FALSE POSITIVE 76.98%
921 CANDIDATE (PC) 63.07%
922 CANDIDATE (PC) 49.84%
923 CONFIRMED (CP) 95.66%
924 CANDIDATE (PC) 90.05%
925 CANDIDATE (PC) 73.24%
926 CONFIRMED (CP) 98.29%
927 CANDIDATE (PC) 73.43%
928 CONFIRMED (CP) 46.25%
929 FALSE POSITIVE 99.17%
930 CONFIRMED (CP) 90.87%
931 FALSE POSITIVE 70.17%
932 FALSE POSITIVE 97.69%
933 FALSE POSITIVE 98.78%
934 FALSE POSITIVE 73.12%
935 CONFIRMED (CP) 87.54%
936 CANDIDATE (PC) 52.32%
937 CONFIRMED (CP) 77.51%
938 CANDIDATE (PC) 68.17%
939 CANDIDATE (PC) 52.96%
940 FALSE POSITIVE 76.52%
941 CANDIDATE (PC) 56.00%
942 CONFIRMED (CP) 53.45%
943 CONFIRMED (CP) 84.28%
944 CONFIRMED (CP) 54.94%
945 CONFIRMED (CP) 84.27%
946 CANDIDATE (PC) 42.69%
947 CONFIRMED (CP) 94.57%
948 CANDIDATE (PC) 78.11%
949 CANDIDATE (PC) 40.08%
950 CANDIDATE (PC) 77.13%
951 CANDIDATE (PC) 83.64%
952 CANDIDATE (PC) 91.20%
953 CONFIRMED (CP) 58.16%
954 FALSE POSITIVE 99.86%
955 CANDIDATE (PC) 53.46%
956 FALSE POSITIVE 99.69%
957 CANDIDATE (PC) 83.94%
958 CANDIDATE (PC) 83.86%
959 CANDIDATE (PC) 83.47%
960 FALSE POSITIVE 51.69%
961 CANDIDATE (PC) 60.93%
962 CANDIDATE (PC) 62.67%
963 CANDIDATE (PC) 81.76%
964 FALSE POSITIVE 95.50%
965 CANDIDATE (PC) 53.66%
966 CANDIDATE (PC) 56.54%
967 CANDIDATE (PC) 84.39%
968 CANDIDATE (PC) 58.74%
969 CONFIRMED (CP) 93.37%
970 FALSE POSITIVE 63.08%
971 FALSE POSITIVE 56.26%
972 FALSE POSITIVE 66.01%
973 CANDIDATE (PC) 75.10%
974 CANDIDATE (PC) 80.78%
975 CONFIRMED (CP) 93.16%
976 CONFIRMED (CP) 98.96%
977 FALSE POSITIVE 54.52%
978 CONFIRMED (CP) 66.53%
979 CANDIDATE (PC) 90.92%
980 FALSE POSITIVE 98.84%
981 CANDIDATE (PC) 87.28%
982 CANDIDATE (PC) 88.38%
983 CANDIDATE (PC) 83.76%
984 FALSE POSITIVE 100.00%
985 CONFIRMED (CP) 95.23%
986 FALSE POSITIVE 56.80%
987 FALSE POSITIVE 49.43%
988 CONFIRMED (CP) 99.49%
989 FALSE POSITIVE 99.77%
990 CONFIRMED (CP) 98.32%
991 FALSE POSITIVE 53.35%
992 FALSE POSITIVE 80.32%
993 CANDIDATE (PC) 66.77%
994 CONFIRMED (CP) 98.28%
995 FALSE POSITIVE 70.00%
996 CONFIRMED (CP) 97.47%
997 CANDIDATE (PC) 93.06%
998 FALSE POSITIVE 70.58%
999 FALSE POSITIVE 67.86%
1000 FALSE POSITIVE 98.24%
1001 CANDIDATE (PC) 52.63%
1002 CANDIDATE (PC) 49.25%
1003 FALSE POSITIVE 84.41%
1004 CONFIRMED (CP) 96.07%
1005 CONFIRMED (CP) 93.29%
1006 FALSE POSITIVE 51.31%
1007 CANDIDATE (PC) 80.54%
1008 FALSE POSITIVE 80.68%
1009 CANDIDATE (PC) 80.88%
1010 CONFIRMED (CP) 92.15%
1011 CANDIDATE (PC) 76.72%
1012 CANDIDATE (PC) 50.29%
1013 CANDIDATE (PC) 93.41%
1014 CANDIDATE (PC) 43.60%
1015 CONFIRMED (CP) 37.22%
1016 CANDIDATE (PC) 66.18%
1017 CANDIDATE (PC) 90.59%
1018 FALSE POSITIVE 100.00%
1019 CANDIDATE (PC) 74.05%
1020 FALSE POSITIVE 99.70%
1021 CANDIDATE (PC) 74.52%
1022 CONFIRMED (CP) 99.76%
1023 CANDIDATE (PC) 45.61%
1024 CONFIRMED (CP) 96.93%
1025 CANDIDATE (PC) 86.78%
1026 CONFIRMED (CP) 43.48%
1027 CANDIDATE (PC) 77.09%
1028 CONFIRMED (CP) 98.48%
1029 FALSE POSITIVE 59.73%
1030 FALSE POSITIVE 95.81%
1031 CONFIRMED (CP) 93.79%
1032 CANDIDATE (PC) 40.68%
1033 CONFIRMED (CP) 46.91%
1034 CANDIDATE (PC) 86.35%
1035 CANDIDATE (PC) 89.02%
1036 CONFIRMED (CP) 47.16%
1037 FALSE POSITIVE 99.97%
1038 FALSE POSITIVE 80.35%
1039 FALSE POSITIVE 64.96%
1040 FALSE POSITIVE 99.88%
1041 CANDIDATE (PC) 87.31%
1042 CONFIRMED (CP) 92.97%
1043 CONFIRMED (CP) 78.60%
1044 CONFIRMED (CP) 95.39%
1045 FALSE POSITIVE 68.42%
1046 CANDIDATE (PC) 75.68%
1047 FALSE POSITIVE 58.19%
1048 CONFIRMED (CP) 95.58%
1049 FALSE POSITIVE 82.59%
1050 FALSE POSITIVE 99.98%
1051 CANDIDATE (PC) 60.98%
1052 CONFIRMED (CP) 41.54%
1053 CONFIRMED (CP) 95.49%
1054 CANDIDATE (PC) 89.15%
1055 CONFIRMED (CP) 99.33%
1056 CANDIDATE (PC) 76.39%
1057 CANDIDATE (PC) 93.37%
1058 CANDIDATE (PC) 61.67%
1059 CANDIDATE (PC) 76.72%
1060 CANDIDATE (PC) 74.83%
1061 CANDIDATE (PC) 73.15%
1062 CANDIDATE (PC) 93.03%
1063 CANDIDATE (PC) 90.21%
1064 FALSE POSITIVE 97.77%
1065 FALSE POSITIVE 78.18%
1066 CANDIDATE (PC) 84.19%
1067 FALSE POSITIVE 34.36%
1068 CANDIDATE (PC) 80.25%
1069 CANDIDATE (PC) 79.22%
1070 CANDIDATE (PC) 68.12%
1071 CONFIRMED (CP) 81.13%
1072 FALSE POSITIVE 82.00%
1073 CANDIDATE (PC) 80.59%
1074 CANDIDATE (PC) 92.73%
1075 CONFIRMED (CP) 92.19%
1076 CONFIRMED (CP) 96.97%
1077 CANDIDATE (PC) 82.44%
1078 CANDIDATE (PC) 88.91%
1079 CONFIRMED (CP) 85.58%
1080 FALSE POSITIVE 93.90%
1081 CONFIRMED (CP) 80.99%
1082 FALSE POSITIVE 52.17%
1083 CANDIDATE (PC) 87.91%
1084 CANDIDATE (PC) 43.43%
1085 FALSE POSITIVE 80.94%
1086 CONFIRMED (CP) 38.47%
1087 CANDIDATE (PC) 70.84%
1088 CONFIRMED (CP) 53.34%
1089 CANDIDATE (PC) 78.56%
1090 FALSE POSITIVE 95.59%
1091 FALSE POSITIVE 99.99%
1092 CANDIDATE (PC) 72.16%
1093 CANDIDATE (PC) 64.50%
1094 FALSE POSITIVE 52.29%
1095 CONFIRMED (CP) 77.84%
1096 CANDIDATE (PC) 77.71%
1097 CANDIDATE (PC) 86.85%
1098 FALSE POSITIVE 99.84%
1099 FALSE POSITIVE 60.03%
1100 CANDIDATE (PC) 42.54%
1101 CONFIRMED (CP) 88.70%
1102 CANDIDATE (PC) 82.32%
1103 CANDIDATE (PC) 92.98%
1104 CONFIRMED (CP) 50.31%
1105 FALSE POSITIVE 45.05%
1106 FALSE POSITIVE 99.96%
1107 CONFIRMED (CP) 93.56%
1108 CONFIRMED (CP) 71.64%
1109 FALSE POSITIVE 62.27%
1110 CONFIRMED (CP) 99.55%
1111 CANDIDATE (PC) 75.85%
1112 CANDIDATE (PC) 55.59%
1113 FALSE POSITIVE 63.92%
1114 CANDIDATE (PC) 87.57%
1115 CANDIDATE (PC) 84.35%
1116 FALSE POSITIVE 49.48%
1117 CONFIRMED (CP) 38.54%
1118 FALSE POSITIVE 56.88%
1119 CANDIDATE (PC) 75.10%
1120 FALSE POSITIVE 97.70%
1121 CANDIDATE (PC) 90.74%
1122 CONFIRMED (CP) 74.63%
1123 FALSE POSITIVE 53.74%
1124 CANDIDATE (PC) 56.09%
1125 CONFIRMED (CP) 97.49%
1126 CANDIDATE (PC) 93.11%
1127 CONFIRMED (CP) 84.28%
1128 CANDIDATE (PC) 92.47%
1129 CANDIDATE (PC) 76.62%
1130 CONFIRMED (CP) 92.61%
1131 CANDIDATE (PC) 81.67%
1132 CANDIDATE (PC) 68.28%
1133 FALSE POSITIVE 52.18%
1134 CONFIRMED (CP) 93.16%
1135 FALSE POSITIVE 39.64%
1136 CANDIDATE (PC) 84.92%
1137 CANDIDATE (PC) 78.45%
1138 FALSE POSITIVE 54.93%
1139 CANDIDATE (PC) 93.63%
1140 FALSE POSITIVE 100.00%
1141 CONFIRMED (CP) 43.21%
1142 CANDIDATE (PC) 70.66%
1143 CANDIDATE (PC) 86.47%
1144 FALSE POSITIVE 99.70%
1145 CANDIDATE (PC) 56.27%
1146 CANDIDATE (PC) 81.27%
1147 CONFIRMED (CP) 95.53%
1148 CONFIRMED (CP) 93.64%
1149 CANDIDATE (PC) 91.11%
1150 CANDIDATE (PC) 59.49%
1151 CONFIRMED (CP) 90.98%
1152 CANDIDATE (PC) 82.68%
1153 CONFIRMED (CP) 48.16%
1154 FALSE POSITIVE 70.05%
1155 CANDIDATE (PC) 69.75%
1156 CANDIDATE (PC) 84.96%
1157 CANDIDATE (PC) 68.74%
1158 CANDIDATE (PC) 53.62%
1159 CANDIDATE (PC) 50.55%
1160 FALSE POSITIVE 99.67%
1161 FALSE POSITIVE 99.56%
1162 CONFIRMED (CP) 75.32%
1163 CONFIRMED (CP) 99.01%
1164 CONFIRMED (CP) 42.98%
1165 CANDIDATE (PC) 84.03%
1166 CONFIRMED (CP) 94.73%
1167 CANDIDATE (PC) 68.31%
1168 FALSE POSITIVE 97.62%
1169 CANDIDATE (PC) 84.16%
1170 CANDIDATE (PC) 69.46%
1171 CONFIRMED (CP) 54.02%
1172 CONFIRMED (CP) 48.75%
1173 CONFIRMED (CP) 93.14%
1174 CANDIDATE (PC) 88.03%
1175 FALSE POSITIVE 42.37%
1176 FALSE POSITIVE 80.63%
1177 CANDIDATE (PC) 78.83%
1178 CANDIDATE (PC) 59.10%
1179 CONFIRMED (CP) 99.01%
1180 CONFIRMED (CP) 99.24%
1181 CONFIRMED (CP) 92.20%
1182 FALSE POSITIVE 66.71%
1183 FALSE POSITIVE 56.64%
1184 CONFIRMED (CP) 91.31%
1185 CONFIRMED (CP) 98.29%
1186 FALSE POSITIVE 81.55%
1187 FALSE POSITIVE 81.27%
1188 CANDIDATE (PC) 79.48%
1189 FALSE POSITIVE 98.86%
1190 CONFIRMED (CP) 73.37%
1191 CONFIRMED (CP) 95.39%
1192 FALSE POSITIVE 60.41%
1193 CONFIRMED (CP) 47.52%
1194 FALSE POSITIVE 91.19%
1195 CANDIDATE (PC) 64.52%
1196 FALSE POSITIVE 99.99%
1197 FALSE POSITIVE 72.18%
1198 CANDIDATE (PC) 61.97%
1199 CONFIRMED (CP) 45.81%
1200 FALSE POSITIVE 100.00%
1201 CANDIDATE (PC) 88.32%
1202 FALSE POSITIVE 46.93%
1203 FALSE POSITIVE 52.39%
1204 CANDIDATE (PC) 73.55%
1205 CONFIRMED (CP) 94.84%
1206 FALSE POSITIVE 89.28%
1207 CONFIRMED (CP) 94.97%
1208 CANDIDATE (PC) 91.47%
1209 FALSE POSITIVE 86.08%
1210 CANDIDATE (PC) 52.06%
1211 FALSE POSITIVE 66.55%
1212 CANDIDATE (PC) 64.76%
1213 CANDIDATE (PC) 81.39%
1214 FALSE POSITIVE 98.78%
1215 FALSE POSITIVE 50.12%
1216 CONFIRMED (CP) 39.53%
1217 CONFIRMED (CP) 98.87%
1218 FALSE POSITIVE 81.48%
1219 FALSE POSITIVE 66.25%
1220 CANDIDATE (PC) 90.30%
1221 CONFIRMED (CP) 80.44%
1222 CONFIRMED (CP) 36.26%
1223 FALSE POSITIVE 58.54%
1224 CANDIDATE (PC) 84.80%
1225 CANDIDATE (PC) 57.74%
1226 FALSE POSITIVE 48.39%
1227 FALSE POSITIVE 84.50%
1228 FALSE POSITIVE 70.55%
1229 FALSE POSITIVE 100.00%
1230 FALSE POSITIVE 92.32%
1231 CANDIDATE (PC) 61.86%
1232 FALSE POSITIVE 99.60%
1233 FALSE POSITIVE 72.99%
1234 FALSE POSITIVE 58.36%
1235 CANDIDATE (PC) 43.53%
1236 FALSE POSITIVE 58.15%
1237 CANDIDATE (PC) 80.90%
1238 FALSE POSITIVE 50.68%
1239 CONFIRMED (CP) 92.82%
1240 CANDIDATE (PC) 89.49%
1241 CONFIRMED (CP) 45.19%
1242 FALSE POSITIVE 99.45%
1243 CONFIRMED (CP) 92.91%
1244 CANDIDATE (PC) 60.80%
1245 FALSE POSITIVE 93.57%
1246 FALSE POSITIVE 56.90%
1247 CONFIRMED (CP) 95.62%
1248 CONFIRMED (CP) 47.84%
1249 CONFIRMED (CP) 54.94%
1250 CONFIRMED (CP) 95.47%
1251 CANDIDATE (PC) 88.41%
1252 FALSE POSITIVE 65.21%
1253 CANDIDATE (PC) 58.98%
1254 CANDIDATE (PC) 84.07%
1255 CONFIRMED (CP) 83.24%
1256 CANDIDATE (PC) 67.79%
1257 FALSE POSITIVE 82.67%
1258 CONFIRMED (CP) 42.06%
1259 FALSE POSITIVE 72.24%
1260 CONFIRMED (CP) 72.20%
1261 CANDIDATE (PC) 48.65%
1262 FALSE POSITIVE 59.34%
1263 CONFIRMED (CP) 42.04%
1264 CANDIDATE (PC) 78.75%
1265 CONFIRMED (CP) 57.31%
1266 FALSE POSITIVE 78.13%
1267 CANDIDATE (PC) 56.98%
1268 CONFIRMED (CP) 97.66%
1269 CANDIDATE (PC) 51.51%
1270 CANDIDATE (PC) 53.99%
1271 CANDIDATE (PC) 88.93%
1272 CANDIDATE (PC) 56.09%
1273 CANDIDATE (PC) 80.28%
1274 CANDIDATE (PC) 63.90%
1275 CANDIDATE (PC) 60.00%
1276 CANDIDATE (PC) 66.02%
1277 CONFIRMED (CP) 81.65%
1278 CANDIDATE (PC) 47.99%
1279 CANDIDATE (PC) 36.10%
1280 CONFIRMED (CP) 94.51%
1281 CANDIDATE (PC) 57.24%
1282 FALSE POSITIVE 92.88%
1283 CANDIDATE (PC) 91.59%
1284 FALSE POSITIVE 52.47%
1285 CANDIDATE (PC) 83.89%
1286 FALSE POSITIVE 97.31%
1287 CANDIDATE (PC) 70.18%
1288 CANDIDATE (PC) 65.52%
1289 CANDIDATE (PC) 91.01%
1290 CANDIDATE (PC) 49.13%
1291 FALSE POSITIVE 87.95%
1292 CANDIDATE (PC) 67.40%
1293 CANDIDATE (PC) 83.30%
1294 CONFIRMED (CP) 96.14%
1295 FALSE POSITIVE 71.80%
1296 CONFIRMED (CP) 93.60%
1297 FALSE POSITIVE 53.25%
1298 FALSE POSITIVE 64.18%
1299 FALSE POSITIVE 96.45%
1300 CANDIDATE (PC) 44.90%
1301 FALSE POSITIVE 67.67%
1302 CANDIDATE (PC) 82.22%
1303 CANDIDATE (PC) 81.78%
1304 CONFIRMED (CP) 89.30%
1305 CANDIDATE (PC) 88.33%
1306 CONFIRMED (CP) 59.07%
1307 FALSE POSITIVE 40.71%
1308 CONFIRMED (CP) 97.93%
1309 FALSE POSITIVE 61.95%
1310 CONFIRMED (CP) 95.78%
1311 CONFIRMED (CP) 91.36%
1312 CANDIDATE (PC) 87.65%
1313 CONFIRMED (CP) 47.73%
1314 FALSE POSITIVE 86.31%
1315 FALSE POSITIVE 56.19%
1316 FALSE POSITIVE 99.94%
1317 CONFIRMED (CP) 45.14%
1318 CONFIRMED (CP) 95.51%
1319 FALSE POSITIVE 55.44%
1320 FALSE POSITIVE 51.14%
1321 CONFIRMED (CP) 51.48%
1322 CANDIDATE (PC) 54.53%
1323 CONFIRMED (CP) 98.97%
1324 CANDIDATE (PC) 83.94%
1325 CANDIDATE (PC) 70.42%
1326 CANDIDATE (PC) 75.12%
1327 CANDIDATE (PC) 69.29%
1328 CANDIDATE (PC) 41.66%
1329 FALSE POSITIVE 61.93%
1330 FALSE POSITIVE 99.94%
1331 CANDIDATE (PC) 92.77%
1332 FALSE POSITIVE 63.44%
1333 CANDIDATE (PC) 76.90%
1334 FALSE POSITIVE 72.22%
1335 CANDIDATE (PC) 74.70%
1336 FALSE POSITIVE 81.34%
1337 CONFIRMED (CP) 87.65%
1338 CANDIDATE (PC) 66.65%
1339 CANDIDATE (PC) 78.26%
1340 CANDIDATE (PC) 86.44%
1341 CANDIDATE (PC) 89.87%
1342 CONFIRMED (CP) 50.99%
1343 CONFIRMED (CP) 76.65%
1344 CANDIDATE (PC) 87.51%
1345 FALSE POSITIVE 55.10%
1346 CONFIRMED (CP) 66.49%
1347 FALSE POSITIVE 51.48%
1348 CANDIDATE (PC) 65.52%
1349 CONFIRMED (CP) 97.71%
1350 CANDIDATE (PC) 82.98%
1351 CANDIDATE (PC) 77.01%
1352 CONFIRMED (CP) 79.83%
1353 FALSE POSITIVE 80.93%
1354 CANDIDATE (PC) 75.87%
1355 CONFIRMED (CP) 96.09%
1356 CONFIRMED (CP) 42.22%
1357 CONFIRMED (CP) 98.83%
1358 CONFIRMED (CP) 94.77%
1359 FALSE POSITIVE 99.82%
1360 CONFIRMED (CP) 97.75%
1361 FALSE POSITIVE 57.32%
1362 CANDIDATE (PC) 83.84%
1363 CONFIRMED (CP) 93.84%
1364 CONFIRMED (CP) 95.98%
1365 FALSE POSITIVE 94.12%
1366 CANDIDATE (PC) 68.92%
1367 FALSE POSITIVE 59.32%
1368 CONFIRMED (CP) 66.32%
1369 CANDIDATE (PC) 35.40%
1370 CANDIDATE (PC) 69.97%
1371 CANDIDATE (PC) 82.55%
1372 CANDIDATE (PC) 83.64%
1373 CONFIRMED (CP) 46.65%
1374 CONFIRMED (CP) 49.16%
1375 CONFIRMED (CP) 98.37%
1376 CANDIDATE (PC) 60.90%
1377 CANDIDATE (PC) 51.97%
1378 CANDIDATE (PC) 85.44%
1379 FALSE POSITIVE 80.10%
1380 CANDIDATE (PC) 78.57%
1381 CONFIRMED (CP) 46.97%
1382 CONFIRMED (CP) 36.07%
1383 CONFIRMED (CP) 93.60%
1384 FALSE POSITIVE 94.23%
1385 FALSE POSITIVE 78.09%
1386 FALSE POSITIVE 51.92%
1387 CANDIDATE (PC) 83.32%
1388 CANDIDATE (PC) 61.44%
1389 CANDIDATE (PC) 85.66%
1390 CONFIRMED (CP) 48.94%
1391 FALSE POSITIVE 78.08%
1392 CONFIRMED (CP) 78.71%
1393 FALSE POSITIVE 52.96%
1394 CONFIRMED (CP) 73.75%
1395 CANDIDATE (PC) 56.34%
1396 CANDIDATE (PC) 87.10%
1397 CONFIRMED (CP) 42.35%
1398 FALSE POSITIVE 87.19%
1399 FALSE POSITIVE 57.47%
1400 CANDIDATE (PC) 58.89%
1401 FALSE POSITIVE 88.10%
1402 FALSE POSITIVE 57.82%
1403 CONFIRMED (CP) 93.64%
1404 CANDIDATE (PC) 72.52%
1405 FALSE POSITIVE 42.64%
1406 FALSE POSITIVE 98.97%
1407 CONFIRMED (CP) 97.88%
1408 CANDIDATE (PC) 51.54%
1409 FALSE POSITIVE 50.49%
1410 CANDIDATE (PC) 87.99%
1411 CANDIDATE (PC) 79.33%
1412 CANDIDATE (PC) 46.84%
1413 CANDIDATE (PC) 71.50%
1414 FALSE POSITIVE 49.11%
1415 CONFIRMED (CP) 99.40%
1416 CANDIDATE (PC) 88.43%
1417 CANDIDATE (PC) 51.65%
1418 CONFIRMED (CP) 98.70%
1419 CANDIDATE (PC) 80.79%
1420 CONFIRMED (CP) 68.98%
1421 CANDIDATE (PC) 70.77%
1422 CONFIRMED (CP) 92.95%
1423 FALSE POSITIVE 94.74%
1424 CONFIRMED (CP) 41.29%
1425 CONFIRMED (CP) 79.95%
1426 CANDIDATE (PC) 88.72%
1427 CANDIDATE (PC) 72.71%
1428 CONFIRMED (CP) 92.75%
1429 CONFIRMED (CP) 88.31%
1430 CANDIDATE (PC) 70.36%
1431 CANDIDATE (PC) 68.73%
1432 CONFIRMED (CP) 46.56%
1433 CANDIDATE (PC) 55.11%
1434 CANDIDATE (PC) 87.34%
1435 FALSE POSITIVE 70.41%
1436 CANDIDATE (PC) 86.29%
1437 FALSE POSITIVE 84.51%
1438 CONFIRMED (CP) 99.43%
1439 FALSE POSITIVE 70.59%
1440 CANDIDATE (PC) 84.40%
1441 FALSE POSITIVE 74.51%
1442 FALSE POSITIVE 83.65%
1443 CANDIDATE (PC) 53.00%
1444 CONFIRMED (CP) 93.18%
1445 CANDIDATE (PC) 57.16%
1446 CANDIDATE (PC) 44.11%
1447 CONFIRMED (CP) 94.44%
1448 CANDIDATE (PC) 45.20%
1449 FALSE POSITIVE 81.78%
1450 CANDIDATE (PC) 82.19%
1451 CANDIDATE (PC) 81.00%
