RESULTADOS DEL MODELO: XGBoost
734 FALSE POSITIVE 67.94%
735 CONFIRMED (CP) 96.71%
736 CANDIDATE (PC) 96.49%
737 CANDIDATE (PC) 40.01%
738 FALSE POSITIVE 60.70%
739 CANDIDATE (PC) 99.87%
740 FALSE POSITIVE 59.27%
741 CONFIRMED (CP) 95.54%
742 FALSE POSITIVE 99.89%
743 CANDIDATE (PC) 80.55%
744 CANDIDATE (PC) 91.86%
745 CANDIDATE (PC) 83.78%
746 FALSE POSITIVE 97.49%
747 FALSE POSITIVE 59.26%
748 CANDIDATE (PC) 58.69%
749 FALSE POSITIVE 49.11%
750 CONFIRMED (CP) 98.87%
751 CONFIRMED (CP) 98.23%
752 CANDIDATE (PC) 97.54%
753 CONFIRMED (CP) 91.92%
754 CONFIRMED (CP) 93.85%
755 FALSE POSITIVE 80.56%
756 FALSE POSITIVE 95.84%
757 CANDIDATE (PC) 93.11%
758 CANDIDATE (PC) 67.72%
759 CANDIDATE (PC) 96.16%
760 CANDIDATE (PC) 87.52%
761 CONFIRMED (CP) 93.56%
762 CANDIDATE (PC) 44.70%
763 FALSE POSITIVE 99.86%
764 CANDIDATE (PC) 89.03%
765 CONFIRMED (CP) 52.53%
766 FALSE POSITIVE 70.62%
767 CONFIRMED (CP) 98.11%
768 CONFIRMED (CP) 98.73%
769 CANDIDATE (PC) 93.52%
770 CANDIDATE (PC) 92.46%
771 CANDIDATE (PC) 78.10%
772 FALSE POSITIVE 70.02%
773 CANDIDATE (PC) 48.46%
774 FALSE POSITIVE 94.57%
775 FALSE POSITIVE 65.30%
776 FALSE POSITIVE 68.68%
777 CANDIDATE (PC) 86.17%
778 FALSE POSITIVE 99.86%
779 FALSE POSITIVE 95.80%
780 CANDIDATE (PC) 90.91%
781 CONFIRMED (CP) 95.97%
782 CONFIRMED (CP) 96.82%
783 CANDIDATE (PC) 57.19%
784 FALSE POSITIVE 70.63%
785 FALSE POSITIVE 98.13%
786 CANDIDATE (PC) 97.19%
787 CANDIDATE (PC) 99.55%
788 CANDIDATE (PC) 99.35%
789 CANDIDATE (PC) 92.31%
790 CONFIRMED (CP) 93.83%
791 CANDIDATE (PC) 77.05%
792 FALSE POSITIVE 99.39%
793 CONFIRMED (CP) 93.78%
794 CONFIRMED (CP) 82.31%
795 CANDIDATE (PC) 68.35%
796 FALSE POSITIVE 99.79%
797 CONFIRMED (CP) 95.27%
798 CANDIDATE (PC) 93.95%
799 CANDIDATE (PC) 56.02%
800 FALSE POSITIVE 84.89%
801 CANDIDATE (PC) 92.33%
802 CONFIRMED (CP) 98.11%
803 CANDIDATE (PC) 92.13%
804 FALSE POSITIVE 93.19%
805 CANDIDATE (PC) 89.49%
806 CANDIDATE (PC) 50.52%
807 CANDIDATE (PC) 74.59%
808 CONFIRMED (CP) 97.87%
809 CANDIDATE (PC) 76.43%
810 CONFIRMED (CP) 66.46%
811 CONFIRMED (CP) 98.95%
812 CANDIDATE (PC) 89.37%
813 CANDIDATE (PC) 95.51%
814 CANDIDATE (PC) 80.71%
815 CONFIRMED (CP) 93.78%
816 CANDIDATE (PC) 54.46%
817 CONFIRMED (CP) 61.80%
818 CONFIRMED (CP) 96.51%
819 CANDIDATE (PC) 88.38%
820 CANDIDATE (PC) 99.61%
821 FALSE POSITIVE 77.75%
822 CANDIDATE (PC) 92.40%
823 CANDIDATE (PC) 49.33%
824 FALSE POSITIVE 98.63%
825 CANDIDATE (PC) 39.53%
826 CANDIDATE (PC) 96.50%
827 CONFIRMED (CP) 99.25%
828 FALSE POSITIVE 64.92%
829 FALSE POSITIVE 50.34%
830 CANDIDATE (PC) 87.80%
831 CANDIDATE (PC) 78.98%
832 CANDIDATE (PC) 99.91%
833 CANDIDATE (PC) 77.75%
834 CONFIRMED (CP) 59.87%
835 CONFIRMED (CP) 96.49%
836 CANDIDATE (PC) 91.23%
837 FALSE POSITIVE 86.70%
838 CANDIDATE (PC) 92.77%
839 FALSE POSITIVE 84.24%
840 CANDIDATE (PC) 93.38%
841 CANDIDATE (PC) 95.96%
842 CANDIDATE (PC) 73.40%
843 CONFIRMED (CP) 87.36%
844 FALSE POSITIVE 99.68%
845 CANDIDATE (PC) 88.36%
846 FALSE POSITIVE 99.86%
847 CANDIDATE (PC) 85.31%
848 CANDIDATE (PC) 93.50%
849 CANDIDATE (PC) 69.19%
850 CANDIDATE (PC) 82.92%
851 CONFIRMED (CP) 86.90%
852 CANDIDATE (PC) 93.50%
853 CANDIDATE (PC) 93.16%
854 CONFIRMED (CP) 99.06%
855 CANDIDATE (PC) 79.27%
856 CONFIRMED (CP) 93.13%
857 CANDIDATE (PC) 99.84%
858 FALSE POSITIVE 82.54%
859 CONFIRMED (CP) 66.64%
860 FALSE POSITIVE 97.72%
861 CONFIRMED (CP) 84.84%
862 CANDIDATE (PC) 80.27%
863 CANDIDATE (PC) 76.29%
864 FALSE POSITIVE 99.71%
865 CANDIDATE (PC) 92.14%
866 CONFIRMED (CP) 99.02%
867 FALSE POSITIVE 90.23%
868 FALSE POSITIVE 88.01%
869 CANDIDATE (PC) 83.57%
870 CONFIRMED (CP) 83.93%
871 CANDIDATE (PC) 82.32%
872 CONFIRMED (CP) 98.00%
873 CONFIRMED (CP) 96.76%
874 CANDIDATE (PC) 82.62%
875 CONFIRMED (CP) 44.95%
876 CONFIRMED (CP) 94.42%
877 CANDIDATE (PC) 94.30%
878 CANDIDATE (PC) 93.37%
879 FALSE POSITIVE 89.51%
880 FALSE POSITIVE 99.12%
881 CANDIDATE (PC) 69.51%
882 CANDIDATE (PC) 76.53%
883 CONFIRMED (CP) 95.14%
884 CANDIDATE (PC) 85.33%
885 FALSE POSITIVE 92.32%
886 FALSE POSITIVE 99.69%
887 CANDIDATE (PC) 85.72%
888 CANDIDATE (PC) 64.85%
889 CANDIDATE (PC) 85.87%
890 CANDIDATE (PC) 71.47%
891 CANDIDATE (PC) 90.10%
892 FALSE POSITIVE 73.30%
893 CANDIDATE (PC) 81.02%
894 CONFIRMED (CP) 90.87%
895 FALSE POSITIVE 73.23%
896 FALSE POSITIVE 52.64%
897 CANDIDATE (PC) 94.18%
898 CONFIRMED (CP) 95.36%
899 FALSE POSITIVE 92.91%
900 FALSE POSITIVE 99.75%
901 CANDIDATE (PC) 56.64%
902 CANDIDATE (PC) 91.36%
903 FALSE POSITIVE 71.95%
904 CANDIDATE (PC) 84.76%
905 CANDIDATE (PC) 94.60%
906 CANDIDATE (PC) 99.64%
907 CONFIRMED (CP) 95.90%
908 CANDIDATE (PC) 84.31%
909 CONFIRMED (CP) 70.21%
910 FALSE POSITIVE 99.79%
911 CONFIRMED (CP) 83.79%
912 CANDIDATE (PC) 87.10%
913 CONFIRMED (CP) 95.62%
914 CONFIRMED (CP) 98.63%
915 CANDIDATE (PC) 50.01%
916 CONFIRMED (CP) 64.04%
917 FALSE POSITIVE 97.72%
918 CONFIRMED (CP) 98.44%
919 FALSE POSITIVE 54.31%
920 FALSE POSITIVE 91.76%
921 FALSE POSITIVE 50.86%
922 CONFIRMED (CP) 73.84%
923 CONFIRMED (CP) 96.42%
924 CANDIDATE (PC) 96.17%
925 CANDIDATE (PC) 70.75%
926 CONFIRMED (CP) 98.36%
927 CONFIRMED (CP) 84.68%
928 CANDIDATE (PC) 95.54%
929 FALSE POSITIVE 99.32%
930 CONFIRMED (CP) 95.31%
931 FALSE POSITIVE 80.26%
932 FALSE POSITIVE 99.43%
933 FALSE POSITIVE 98.54%
934 CANDIDATE (PC) 84.04%
935 CONFIRMED (CP) 91.30%
936 FALSE POSITIVE 73.98%
937 CONFIRMED (CP) 89.41%
938 CONFIRMED (CP) 42.40%
939 CANDIDATE (PC) 55.45%
940 FALSE POSITIVE 98.92%
941 FALSE POSITIVE 64.46%
942 CANDIDATE (PC) 65.66%
943 CONFIRMED (CP) 83.85%
944 CONFIRMED (CP) 41.05%
945 CONFIRMED (CP) 99.25%
946 CANDIDATE (PC) 45.61%
947 CONFIRMED (CP) 97.36%
948 CANDIDATE (PC) 76.41%
949 CONFIRMED (CP) 59.93%
950 CANDIDATE (PC) 78.24%
951 CANDIDATE (PC) 92.77%
952 CANDIDATE (PC) 96.43%
953 CONFIRMED (CP) 86.77%
954 FALSE POSITIVE 99.42%
955 CANDIDATE (PC) 86.52%
956 FALSE POSITIVE 99.81%
957 CANDIDATE (PC) 97.11%
958 CANDIDATE (PC) 86.89%
959 CANDIDATE (PC) 92.48%
960 FALSE POSITIVE 64.86%
961 CANDIDATE (PC) 83.38%
962 FALSE POSITIVE 62.43%
963 CANDIDATE (PC) 92.73%
964 FALSE POSITIVE 99.36%
965 CANDIDATE (PC) 70.90%
966 CANDIDATE (PC) 37.76%
967 CANDIDATE (PC) 92.42%
968 CANDIDATE (PC) 49.28%
969 CONFIRMED (CP) 94.31%
970 FALSE POSITIVE 62.66%
971 FALSE POSITIVE 45.31%
972 FALSE POSITIVE 94.94%
973 CANDIDATE (PC) 92.57%
974 CANDIDATE (PC) 93.96%
975 CONFIRMED (CP) 96.87%
976 CONFIRMED (CP) 99.22%
977 CANDIDATE (PC) 93.43%
978 CONFIRMED (CP) 53.21%
979 CANDIDATE (PC) 92.64%
980 FALSE POSITIVE 99.22%
981 CANDIDATE (PC) 93.82%
982 CANDIDATE (PC) 88.03%
983 CANDIDATE (PC) 85.69%
984 FALSE POSITIVE 99.93%
985 CONFIRMED (CP) 76.23%
986 FALSE POSITIVE 84.30%
987 FALSE POSITIVE 68.19%
988 CONFIRMED (CP) 98.79%
989 FALSE POSITIVE 99.72%
990 CONFIRMED (CP) 99.32%
991 CANDIDATE (PC) 82.08%
992 FALSE POSITIVE 97.11%
993 CANDIDATE (PC) 62.57%
994 CONFIRMED (CP) 97.33%
995 CANDIDATE (PC) 52.13%
996 CONFIRMED (CP) 96.87%
997 CANDIDATE (PC) 85.01%
998 FALSE POSITIVE 59.15%
999 CONFIRMED (CP) 60.88%
1000 FALSE POSITIVE 99.51%
1001 CANDIDATE (PC) 75.85%
1002 CONFIRMED (CP) 88.54%
1003 FALSE POSITIVE 94.58%
1004 CONFIRMED (CP) 98.20%
1005 CONFIRMED (CP) 89.85%
1006 FALSE POSITIVE 69.02%
1007 CANDIDATE (PC) 86.49%
1008 FALSE POSITIVE 92.89%
1009 CANDIDATE (PC) 88.63%
1010 CONFIRMED (CP) 98.23%
1011 CANDIDATE (PC) 83.89%
1012 CANDIDATE (PC) 86.93%
1013 CANDIDATE (PC) 94.64%
1014 CONFIRMED (CP) 50.77%
1015 CANDIDATE (PC) 47.37%
1016 CANDIDATE (PC) 66.01%
1017 CANDIDATE (PC) 96.66%
1018 FALSE POSITIVE 99.79%
1019 CANDIDATE (PC) 79.52%
1020 FALSE POSITIVE 98.96%
1021 CANDIDATE (PC) 87.74%
1022 CONFIRMED (CP) 99.54%
1023 CANDIDATE (PC) 56.15%
1024 CONFIRMED (CP) 90.30%
1025 CANDIDATE (PC) 89.93%
1026 CANDIDATE (PC) 41.30%
1027 FALSE POSITIVE 96.03%
1028 CONFIRMED (CP) 99.28%
1029 FALSE POSITIVE 94.38%
1030 FALSE POSITIVE 99.21%
1031 CONFIRMED (CP) 97.49%
1032 FALSE POSITIVE 35.68%
1033 CANDIDATE (PC) 46.41%
1034 CANDIDATE (PC) 92.88%
1035 CANDIDATE (PC) 81.38%
1036 CANDIDATE (PC) 51.04%
1037 FALSE POSITIVE 99.83%
1038 FALSE POSITIVE 99.02%
1039 CANDIDATE (PC) 78.45%
1040 FALSE POSITIVE 99.53%
1041 CANDIDATE (PC) 92.09%
1042 CONFIRMED (CP) 88.73%
1043 CONFIRMED (CP) 96.92%
1044 CONFIRMED (CP) 96.89%
1045 CONFIRMED (CP) 51.74%
1046 CANDIDATE (PC) 95.77%
1047 CANDIDATE (PC) 84.15%
1048 CONFIRMED (CP) 95.31%
1049 FALSE POSITIVE 95.82%
1050 FALSE POSITIVE 99.90%
1051 CANDIDATE (PC) 94.66%
1052 CONFIRMED (CP) 38.23%
1053 CONFIRMED (CP) 99.01%
1054 CANDIDATE (PC) 99.93%
1055 CONFIRMED (CP) 97.12%
1056 CANDIDATE (PC) 87.18%
1057 CANDIDATE (PC) 94.77%
1058 CANDIDATE (PC) 76.30%
1059 CANDIDATE (PC) 85.52%
1060 CANDIDATE (PC) 89.47%
1061 CANDIDATE (PC) 78.05%
1062 CANDIDATE (PC) 91.41%
1063 CANDIDATE (PC) 93.70%
1064 FALSE POSITIVE 99.75%
1065 FALSE POSITIVE 95.09%
1066 CANDIDATE (PC) 94.18%
1067 CONFIRMED (CP) 48.97%
1068 CANDIDATE (PC) 89.96%
1069 CANDIDATE (PC) 85.45%
1070 CANDIDATE (PC) 92.00%
1071 CONFIRMED (CP) 93.07%
1072 FALSE POSITIVE 99.02%
1073 CANDIDATE (PC) 98.50%
1074 CANDIDATE (PC) 94.47%
1075 CONFIRMED (CP) 97.45%
1076 CONFIRMED (CP) 99.15%
1077 CANDIDATE (PC) 91.68%
1078 CANDIDATE (PC) 94.16%
1079 CONFIRMED (CP) 96.04%
1080 FALSE POSITIVE 95.79%
1081 CONFIRMED (CP) 89.53%
1082 CANDIDATE (PC) 53.95%
1083 CANDIDATE (PC) 93.87%
1084 CANDIDATE (PC) 67.70%
1085 FALSE POSITIVE 88.48%
1086 FALSE POSITIVE 49.26%
1087 CANDIDATE (PC) 80.85%
1088 CONFIRMED (CP) 43.55%
1089 CANDIDATE (PC) 93.53%
1090 FALSE POSITIVE 99.08%
1091 FALSE POSITIVE 99.69%
1092 CANDIDATE (PC) 85.07%
1093 CANDIDATE (PC) 79.90%
1094 CANDIDATE (PC) 44.99%
1095 CONFIRMED (CP) 92.40%
1096 CANDIDATE (PC) 57.88%
1097 CANDIDATE (PC) 86.72%
1098 FALSE POSITIVE 99.93%
1099 FALSE POSITIVE 77.96%
1100 FALSE POSITIVE 45.84%
1101 CONFIRMED (CP) 60.84%
1102 CANDIDATE (PC) 55.33%
1103 CANDIDATE (PC) 94.46%
1104 CANDIDATE (PC) 49.02%
1105 CANDIDATE (PC) 72.94%
1106 FALSE POSITIVE 99.82%
1107 CONFIRMED (CP) 98.05%
1108 CONFIRMED (CP) 84.70%
1109 FALSE POSITIVE 58.19%
1110 CONFIRMED (CP) 98.77%
1111 CANDIDATE (PC) 97.04%
1112 CANDIDATE (PC) 71.56%
1113 CANDIDATE (PC) 52.11%
1114 CANDIDATE (PC) 87.87%
1115 CANDIDATE (PC) 93.96%
1116 CONFIRMED (CP) 58.45%
1117 CONFIRMED (CP) 40.56%
1118 CANDIDATE (PC) 70.62%
1119 CANDIDATE (PC) 81.19%
1120 FALSE POSITIVE 99.52%
1121 CANDIDATE (PC) 97.35%
1122 CONFIRMED (CP) 96.28%
1123 CANDIDATE (PC) 57.63%
1124 CANDIDATE (PC) 89.84%
1125 CONFIRMED (CP) 96.14%
1126 CANDIDATE (PC) 94.96%
1127 CONFIRMED (CP) 57.60%
1128 CANDIDATE (PC) 94.15%
1129 CANDIDATE (PC) 97.23%
1130 CONFIRMED (CP) 97.78%
1131 CANDIDATE (PC) 87.97%
1132 FALSE POSITIVE 51.72%
1133 FALSE POSITIVE 87.77%
1134 CONFIRMED (CP) 97.03%
1135 FALSE POSITIVE 85.30%
1136 CANDIDATE (PC) 93.63%
1137 CANDIDATE (PC) 99.55%
1138 CONFIRMED (CP) 98.13%
1139 CANDIDATE (PC) 95.14%
1140 FALSE POSITIVE 99.75%
1141 CONFIRMED (CP) 50.07%
1142 CANDIDATE (PC) 62.66%
1143 CANDIDATE (PC) 89.58%
1144 FALSE POSITIVE 99.51%
1145 CANDIDATE (PC) 69.15%
1146 CANDIDATE (PC) 83.48%
1147 CONFIRMED (CP) 97.88%
1148 CONFIRMED (CP) 98.12%
1149 CANDIDATE (PC) 93.58%
1150 FALSE POSITIVE 51.18%
1151 CONFIRMED (CP) 96.57%
1152 CANDIDATE (PC) 84.72%
1153 CONFIRMED (CP) 75.16%
1154 FALSE POSITIVE 48.32%
1155 CANDIDATE (PC) 87.87%
1156 CANDIDATE (PC) 92.78%
1157 CANDIDATE (PC) 82.31%
1158 CANDIDATE (PC) 95.13%
1159 CANDIDATE (PC) 45.57%
1160 FALSE POSITIVE 99.47%
1161 FALSE POSITIVE 99.80%
1162 CONFIRMED (CP) 94.49%
1163 CONFIRMED (CP) 99.56%
1164 FALSE POSITIVE 61.36%
1165 FALSE POSITIVE 40.45%
1166 CONFIRMED (CP) 98.20%
1167 CANDIDATE (PC) 58.32%
1168 FALSE POSITIVE 99.69%
1169 CANDIDATE (PC) 91.87%
1170 CANDIDATE (PC) 83.25%
1171 CONFIRMED (CP) 72.11%
1172 CONFIRMED (CP) 82.71%
1173 CONFIRMED (CP) 97.19%
1174 CANDIDATE (PC) 85.76%
1175 FALSE POSITIVE 50.17%
1176 FALSE POSITIVE 91.10%
1177 CONFIRMED (CP) 84.07%
1178 CANDIDATE (PC) 69.80%
1179 CONFIRMED (CP) 98.70%
1180 CONFIRMED (CP) 98.34%
1181 CONFIRMED (CP) 96.90%
1182 FALSE POSITIVE 46.29%
1183 FALSE POSITIVE 71.92%
1184 CONFIRMED (CP) 95.77%
1185 CONFIRMED (CP) 96.93%
1186 FALSE POSITIVE 94.04%
1187 FALSE POSITIVE 81.21%
1188 CANDIDATE (PC) 90.57%
1189 FALSE POSITIVE 98.66%
1190 CONFIRMED (CP) 88.42%
1191 CONFIRMED (CP) 97.89%
1192 FALSE POSITIVE 85.74%
1193 CONFIRMED (CP) 83.57%
1194 FALSE POSITIVE 87.45%
1195 CANDIDATE (PC) 96.02%
1196 FALSE POSITIVE 99.88%
1197 FALSE POSITIVE 64.53%
1198 CANDIDATE (PC) 75.36%
1199 CANDIDATE (PC) 79.37%
1200 FALSE POSITIVE 99.79%
1201 CANDIDATE (PC) 94.89%
1202 CANDIDATE (PC) 64.39%
1203 FALSE POSITIVE 84.98%
1204 FALSE POSITIVE 73.33%
1205 CONFIRMED (CP) 98.15%
1206 FALSE POSITIVE 95.51%
1207 CONFIRMED (CP) 98.94%
1208 FALSE POSITIVE 45.18%
1209 FALSE POSITIVE 97.16%
1210 FALSE POSITIVE 51.68%
1211 FALSE POSITIVE 67.78%
1212 CANDIDATE (PC) 97.13%
1213 CANDIDATE (PC) 91.57%
1214 FALSE POSITIVE 98.07%
1215 FALSE POSITIVE 69.45%
1216 CONFIRMED (CP) 39.72%
1217 CONFIRMED (CP) 99.45%
1218 FALSE POSITIVE 98.49%
1219 FALSE POSITIVE 54.82%
1220 CANDIDATE (PC) 92.75%
1221 CONFIRMED (CP) 70.32%
1222 CONFIRMED (CP) 50.47%
1223 FALSE POSITIVE 53.46%
1224 CANDIDATE (PC) 89.82%
1225 CANDIDATE (PC) 83.48%
1226 CONFIRMED (CP) 54.39%
1227 FALSE POSITIVE 92.79%
1228 FALSE POSITIVE 62.34%
1229 FALSE POSITIVE 63.97%
1230 FALSE POSITIVE 99.17%
1231 CANDIDATE (PC) 89.88%
1232 FALSE POSITIVE 99.69%
1233 FALSE POSITIVE 63.49%
1234 FALSE POSITIVE 92.86%
1235 CANDIDATE (PC) 42.52%
1236 CONFIRMED (CP) 68.20%
1237 CANDIDATE (PC) 91.94%
1238 FALSE POSITIVE 61.50%
1239 CONFIRMED (CP) 95.63%
1240 CANDIDATE (PC) 94.06%
1241 CANDIDATE (PC) 58.19%
1242 FALSE POSITIVE 99.75%
1243 CONFIRMED (CP) 88.01%
1244 CANDIDATE (PC) 84.71%
1245 FALSE POSITIVE 99.02%
1246 CANDIDATE (PC) 65.28%
1247 CONFIRMED (CP) 94.11%
1248 CONFIRMED (CP) 78.98%
1249 CONFIRMED (CP) 83.16%
1250 CONFIRMED (CP) 90.62%
1251 CANDIDATE (PC) 96.03%
1252 FALSE POSITIVE 75.17%
1253 CANDIDATE (PC) 80.00%
1254 CANDIDATE (PC) 88.91%
1255 CONFIRMED (CP) 95.99%
1256 CANDIDATE (PC) 77.31%
1257 CONFIRMED (CP) 49.76%
1258 CONFIRMED (CP) 47.44%
1259 FALSE POSITIVE 98.14%
1260 CONFIRMED (CP) 92.94%
1261 CANDIDATE (PC) 69.39%
1262 FALSE POSITIVE 72.79%
1263 CANDIDATE (PC) 37.84%
1264 CANDIDATE (PC) 90.44%
1265 CONFIRMED (CP) 97.83%
1266 FALSE POSITIVE 97.78%
1267 FALSE POSITIVE 65.84%
1268 CONFIRMED (CP) 98.64%
1269 FALSE POSITIVE 58.24%
1270 FALSE POSITIVE 50.80%
1271 CANDIDATE (PC) 80.16%
1272 CANDIDATE (PC) 66.99%
1273 CANDIDATE (PC) 89.68%
1274 CANDIDATE (PC) 52.51%
1275 CANDIDATE (PC) 90.09%
1276 CANDIDATE (PC) 86.59%
1277 CONFIRMED (CP) 90.26%
1278 CONFIRMED (CP) 58.09%
1279 CONFIRMED (CP) 45.34%
1280 CONFIRMED (CP) 97.40%
1281 CANDIDATE (PC) 72.86%
1282 FALSE POSITIVE 94.61%
1283 CANDIDATE (PC) 92.70%
1284 FALSE POSITIVE 69.01%
1285 CANDIDATE (PC) 96.40%
1286 FALSE POSITIVE 99.29%
1287 FALSE POSITIVE 82.29%
1288 CANDIDATE (PC) 80.06%
1289 CANDIDATE (PC) 99.43%
1290 FALSE POSITIVE 47.50%
1291 FALSE POSITIVE 97.38%
1292 FALSE POSITIVE 55.05%
1293 CANDIDATE (PC) 71.59%
1294 CONFIRMED (CP) 81.31%
1295 FALSE POSITIVE 77.89%
1296 CONFIRMED (CP) 98.37%
1297 CANDIDATE (PC) 45.57%
1298 FALSE POSITIVE 60.46%
1299 FALSE POSITIVE 97.79%
1300 CONFIRMED (CP) 50.74%
1301 FALSE POSITIVE 74.71%
1302 CANDIDATE (PC) 93.45%
1303 CANDIDATE (PC) 99.85%
1304 CONFIRMED (CP) 75.28%
1305 CANDIDATE (PC) 92.81%
1306 CONFIRMED (CP) 48.94%
1307 FALSE POSITIVE 52.34%
1308 CONFIRMED (CP) 97.29%
1309 FALSE POSITIVE 54.36%
1310 CONFIRMED (CP) 99.08%
1311 CONFIRMED (CP) 97.83%
1312 CANDIDATE (PC) 91.89%
1313 CANDIDATE (PC) 78.15%
1314 FALSE POSITIVE 95.02%
1315 FALSE POSITIVE 91.99%
1316 FALSE POSITIVE 99.85%
1317 CANDIDATE (PC) 91.77%
1318 CONFIRMED (CP) 74.49%
1319 FALSE POSITIVE 51.08%
1320 CANDIDATE (PC) 50.31%
1321 FALSE POSITIVE 39.42%
1322 CANDIDATE (PC) 92.66%
1323 CONFIRMED (CP) 99.03%
1324 CANDIDATE (PC) 78.77%
1325 CANDIDATE (PC) 99.75%
1326 CANDIDATE (PC) 79.06%
1327 CANDIDATE (PC) 90.34%
1328 CANDIDATE (PC) 48.21%
1329 FALSE POSITIVE 66.75%
1330 FALSE POSITIVE 99.84%
1331 CANDIDATE (PC) 97.37%
1332 FALSE POSITIVE 78.44%
1333 CANDIDATE (PC) 85.49%
1334 CANDIDATE (PC) 63.84%
1335 CANDIDATE (PC) 94.85%
1336 FALSE POSITIVE 97.79%
1337 CONFIRMED (CP) 92.45%
1338 CANDIDATE (PC) 90.33%
1339 CANDIDATE (PC) 99.44%
1340 CANDIDATE (PC) 92.57%
1341 CANDIDATE (PC) 99.81%
1342 CANDIDATE (PC) 47.74%
1343 CONFIRMED (CP) 88.75%
1344 CANDIDATE (PC) 97.03%
1345 CONFIRMED (CP) 98.28%
1346 CONFIRMED (CP) 98.68%
1347 CANDIDATE (PC) 68.31%
1348 CANDIDATE (PC) 85.60%
1349 CONFIRMED (CP) 95.65%
1350 CANDIDATE (PC) 86.06%
1351 CANDIDATE (PC) 81.43%
1352 CANDIDATE (PC) 66.35%
1353 FALSE POSITIVE 96.25%
1354 CANDIDATE (PC) 90.44%
1355 CONFIRMED (CP) 97.91%
1356 CANDIDATE (PC) 44.41%
1357 CONFIRMED (CP) 99.20%
1358 CANDIDATE (PC) 63.36%
1359 FALSE POSITIVE 99.82%
1360 CONFIRMED (CP) 98.58%
1361 CANDIDATE (PC) 50.22%
1362 CANDIDATE (PC) 92.52%
1363 CONFIRMED (CP) 94.51%
1364 CONFIRMED (CP) 94.26%
1365 FALSE POSITIVE 97.08%
1366 CANDIDATE (PC) 58.12%
1367 FALSE POSITIVE 71.92%
1368 CONFIRMED (CP) 88.93%
1369 CANDIDATE (PC) 80.65%
1370 CANDIDATE (PC) 98.47%
1371 CANDIDATE (PC) 99.20%
1372 CANDIDATE (PC) 85.64%
1373 CANDIDATE (PC) 61.49%
1374 CONFIRMED (CP) 83.02%
1375 CONFIRMED (CP) 98.86%
1376 FALSE POSITIVE 52.66%
1377 CANDIDATE (PC) 37.31%
1378 CANDIDATE (PC) 97.99%
1379 FALSE POSITIVE 93.17%
1380 CANDIDATE (PC) 82.95%
1381 FALSE POSITIVE 57.04%
1382 CONFIRMED (CP) 85.62%
1383 CONFIRMED (CP) 96.46%
1384 FALSE POSITIVE 98.68%
1385 FALSE POSITIVE 81.13%
1386 FALSE POSITIVE 52.47%
1387 CANDIDATE (PC) 88.87%
1388 CANDIDATE (PC) 59.49%
1389 CONFIRMED (CP) 61.06%
1390 CONFIRMED (CP) 69.39%
1391 FALSE POSITIVE 91.79%
1392 CONFIRMED (CP) 93.50%
1393 FALSE POSITIVE 65.05%
1394 CONFIRMED (CP) 91.63%
1395 CANDIDATE (PC) 80.28%
1396 CANDIDATE (PC) 91.11%
1397 CANDIDATE (PC) 69.50%
1398 FALSE POSITIVE 94.26%
1399 CANDIDATE (PC) 51.36%
1400 CANDIDATE (PC) 51.32%
1401 FALSE POSITIVE 94.17%
1402 CANDIDATE (PC) 61.80%
1403 CONFIRMED (CP) 98.09%
1404 CANDIDATE (PC) 93.45%
1405 FALSE POSITIVE 40.94%
1406 FALSE POSITIVE 98.55%
1407 CONFIRMED (CP) 97.57%
1408 FALSE POSITIVE 52.27%
1409 FALSE POSITIVE 50.83%
1410 CANDIDATE (PC) 93.59%
1411 CANDIDATE (PC) 81.28%
1412 FALSE POSITIVE 86.06%
1413 CANDIDATE (PC) 92.12%
1414 FALSE POSITIVE 73.48%
1415 CONFIRMED (CP) 98.00%
1416 CANDIDATE (PC) 76.18%
1417 CANDIDATE (PC) 47.10%
1418 CONFIRMED (CP) 99.47%
1419 CANDIDATE (PC) 61.42%
1420 CANDIDATE (PC) 45.38%
1421 FALSE POSITIVE 52.21%
1422 CONFIRMED (CP) 96.15%
1423 FALSE POSITIVE 98.41%
1424 CONFIRMED (CP) 56.67%
1425 CONFIRMED (CP) 61.44%
1426 CANDIDATE (PC) 93.68%
1427 CANDIDATE (PC) 61.84%
1428 CONFIRMED (CP) 97.58%
1429 CONFIRMED (CP) 97.79%
1430 CANDIDATE (PC) 87.90%
1431 CANDIDATE (PC) 81.77%
1432 CONFIRMED (CP) 55.65%
1433 FALSE POSITIVE 49.55%
1434 CANDIDATE (PC) 93.99%
1435 FALSE POSITIVE 64.36%
1436 CANDIDATE (PC) 91.58%
1437 FALSE POSITIVE 97.56%
1438 CONFIRMED (CP) 97.76%
1439 FALSE POSITIVE 81.07%
1440 CANDIDATE (PC) 99.82%
1441 FALSE POSITIVE 90.88%
1442 FALSE POSITIVE 80.89%
1443 CANDIDATE (PC) 78.69%
1444 CONFIRMED (CP) 98.01%
1445 CONFIRMED (CP) 48.50%
1446 FALSE POSITIVE 41.91%
1447 CONFIRMED (CP) 98.28%
1448 CONFIRMED (CP) 58.70%
1449 FALSE POSITIVE 71.65%
1450 CANDIDATE (PC) 87.72%
1451 CANDIDATE (PC) 88.79%
1452 FALSE POSITIVE 69.89%
1453 CANDIDATE (PC) 57.00%
1454 FALSE POSITIVE 58.64%
1455 CANDIDATE (PC) 57.78%
